dataset,setting,cohort,model,n,events,slope,slope_ci_low,slope_ci_high,cal_mae
LUAD,internal,LUAD,path_agnn_cox,527,188,-0.0227226499371984,-0.1626127509107579,0.1171674510363609,0.0204188361202855
LUAD,internal,LUAD,ridge_cox,527,188,0.3899339028968994,0.2501211177787301,0.5297466880150687,0.0035188369347698
LUAD,external,GSE31210,path_agnn_cox,226,35,0.7916192044842637,0.4892868089532414,1.093951600015286,0.0294859332800116
LUAD,external,GSE31210,ridge_cox,226,35,0.5683235167917694,0.2997963412506065,0.8368506923329322,0.0454743908310273
LUAD,external,GSE50081,path_agnn_cox,181,75,0.0545251145151252,-0.1939043578086747,0.3029545868389253,0.0479896034501358
LUAD,external,GSE50081,ridge_cox,181,75,0.1667816460684809,-0.0467568216628293,0.3803201137997912,0.0912416410348282
LUAD,external,GSE68465,path_agnn_cox,442,236,0.0466457946404229,-0.0851291964120988,0.1784207856929447,0.0166230740377045
LUAD,external,GSE68465,ridge_cox,442,236,0.223068620785039,0.1035507065947141,0.3425865349753639,0.0424195670505796
BRCA,internal,BRCA,path_agnn_cox,1086,151,-0.0457261989386333,-0.2277436665823882,0.1362912687051215,0.0094601333618006
BRCA,internal,BRCA,ridge_cox,1086,151,0.4900931866551154,0.3392239069561097,0.6409624663541211,0.0208417449792499
BRCA,external,GSE20685,path_agnn_cox,327,83,-0.1148145516059596,-0.3251626553015945,0.0955335520896753,0.0677773006868198
BRCA,external,GSE20685,ridge_cox,327,83,0.6776458283380897,0.461175750617426,0.8941159060587535,0.018394099652024
BRCA,external,GSE21653,path_agnn_cox,248,79,-0.0455730903666995,-0.270472972686706,0.1793267919533068,0.027905009072816
BRCA,external,GSE21653,ridge_cox,248,79,0.4573266098617222,0.2521413574460867,0.6625118622773578,0.0266571878421278
BRCA,external,GSE7390,path_agnn_cox,198,56,0.1969582742535394,-0.0566686414093781,0.4505851899164569,0.0182723531700919
BRCA,external,GSE7390,ridge_cox,198,56,0.4336255716684267,0.1838217852752283,0.6834293580616251,0.0445467157396319
KIRC,internal,KIRC,path_agnn_cox,533,173,0.2602372327240724,0.091620377251581,0.4288540881965639,0.0255828888279228
KIRC,internal,KIRC,ridge_cox,533,173,0.655566075350325,0.531030657032551,0.7801014936680989,0.0260185594710231
KIRC,external,GSE29609,path_agnn_cox,39,17,0.3214681703501662,-0.1165807619680731,0.7595171026684056,0.1323452249118794
KIRC,external,GSE29609,ridge_cox,39,17,-0.5473631737784626,-1.0153482330157355,-0.0793781145411895,0.1347794761500139
