dataset,cox_nnet,deepsurv,elastic_net,lasso_cox,path_agnn_cox,path_agnn_cox_noreg,path_agnn_cox_static,plain_gnn,ridge_cox,rsf
BLCA,0.3760596737370356,0.43227687233932666,0.6810329999458533,0.6836562833062871,0.4485417199952831,0.5238643396278087,0.5526364698833945,0.5415367032392078,0.7065442324999709,0.6904085771297798
BRCA,0.46684051631628587,0.47775406065146747,0.626363745371922,0.6223011930227483,0.5222573480867428,0.5221004170004547,0.503577289102386,0.49481535508215724,0.6765279635692719,0.5783742334542662
COAD,0.5164593175151508,0.5112472718248324,0.5,0.5,0.4810038658457499,0.4739647020432565,0.46318598597591043,0.48409617717329373,0.5,0.5551744108439708
GBM,0.4828614303990265,0.47215853208276576,0.5517691872300987,0.5474835660233432,0.502646729744652,0.5325847273384869,0.4569330675116463,0.5092906282637657,0.5131985963693,0.4911840928945739
HNSC,0.49274482568923855,0.47992790540448094,0.5633106256466462,0.5572297206979097,0.47319724041437283,0.47185035661371166,0.46739414998440504,0.5127042823467003,0.6172366743933848,0.5657728723779358
KIRC,0.4310344827586206,0.4547413793103448,0.3383620689655172,0.3663793103448275,0.480603448275862,0.5387931034482759,0.5732758620689655,0.5883620689655172,0.3081896551724138,0.2672413793103448
LIHC,0.5580124222758132,0.5257377963624038,0.6380911048457479,0.6343193123930032,0.5083093850851126,0.5180083123304704,0.5321378920647695,0.504665037188888,0.6345091764612056,0.5885850686184149
LUAD,0.5830596281253473,0.5777401397456816,0.6072728928618065,0.6027389467410135,0.6154803465734469,0.42690568789962025,0.4036755516972525,0.40817291444694814,0.6106105198226657,0.6214007844848101
LUSC,0.4884320540990972,0.5395585815348307,0.5119811342408523,0.510729540583338,0.5295471788583652,0.5177904857623288,0.5098764050314907,0.5123885274242528,0.5103113241548337,0.500171726293517
OV,0.5262503704791343,0.5277797537745363,0.528525875293131,0.5502057552780947,0.5150478719330176,0.5086044275601677,0.5114189127713846,0.514923974533238,0.6294487118671598,0.5572602674955088
STAD,0.5250427570556935,0.5064762965321722,0.5333178345565222,0.535176653030274,0.5124323616435167,0.48226863002202114,0.5114319443818145,0.5194888483962832,0.5739567176556825,0.5692493542536419
