pathway,drug,n,rho,P,q
Cell cycle,MK-1775,49,-0.2010204081632653,0.16605196607183398,0.9158113520080801
Cell cycle,Paclitaxel,49,-0.08632653061224489,0.5553323515771971,0.9574244080257808
Cell cycle,Gefitinib,49,0.2556122448979592,0.07628277617256485,0.8975802883155288
Cell cycle,Gemcitabine,49,-0.03265306122448979,0.8237455576455504,0.9669803857890183
Cell cycle,5-Fluorouracil,49,0.11642857142857142,0.42563956845032314,0.9323688896375848
Cell cycle,Palbociclib,49,0.17030612244897955,0.24202593505607609,0.9323688896375848
Cell cycle,Docetaxel,49,-0.12408163265306121,0.39563728005978316,0.9323688896375848
Cell cycle,Cisplatin,49,0.058061224489795914,0.6919050436923425,0.9621202040318297
Cell cycle,AZD7762,49,-0.2198979591836734,0.12896405553871598,0.9158113520080801
Cell cycle,AZD6738,49,-0.2007142857142857,0.16671134849082567,0.9158113520080801
Cell cycle,Talazoparib,49,0.026428571428571426,0.85695192960559,0.9724511709198096
Cell cycle,Niraparib,49,-0.02061224489795918,0.8882050732748759,0.9744736711156785
Cell cycle,Olaparib,49,-0.019795918367346933,0.8926060880394843,0.9744736711156785
Cell cycle,Ribociclib,49,0.09928571428571427,0.4973036299673296,0.9353567910854379
Cell cycle,Trametinib,49,-0.0065306122448979586,0.9644782719082005,0.9846838222973388
Cell cycle,Erlotinib,49,0.21785714285714286,0.1326433885904172,0.9158113520080801
Cell cycle,Selumetinib,49,0.12632653061224489,0.3870771486000205,0.9323688896375848
Cellular senescence,MK-1775,49,0.10540816326530611,0.47101966788956606,0.9323688896375848
Cellular senescence,Paclitaxel,49,-0.1946938775510204,0.18006870620987137,0.9158113520080801
Cellular senescence,Gefitinib,49,0.015,0.9185224577972411,0.9797021202123788
Cellular senescence,Gemcitabine,49,0.13183673469387752,0.36653467321730915,0.9323688896375848
Cellular senescence,5-Fluorouracil,49,0.005816326530612244,0.9683613687039432,0.9854089277695735
Cellular senescence,Palbociclib,49,-0.10459183673469387,0.4744807528749603,0.9323688896375848
Cellular senescence,Docetaxel,49,-0.13877551020408163,0.34162318346402265,0.9323688896375848
Cellular senescence,Cisplatin,49,0.15989795918367344,0.27243565438218714,0.9323688896375848
Cellular senescence,AZD7762,49,-0.07469387755102042,0.6100003624119927,0.9605053886154118
Cellular senescence,AZD6738,49,-0.019693877551020405,0.8931564427462443,0.9744736711156785
Cellular senescence,Talazoparib,49,0.1796938775510204,0.21665519084480292,0.9273275876045036
Cellular senescence,Niraparib,49,0.037959183673469385,0.7956752944109444,0.9621202040318297
Cellular senescence,Olaparib,49,0.24918367346938775,0.08423798211640299,0.8975802883155288
Cellular senescence,Ribociclib,49,-0.2515306122448979,0.08126165424061013,0.8975802883155288
Cellular senescence,Trametinib,49,0.271734693877551,0.05892545915469729,0.8766703776965332
Cellular senescence,Erlotinib,49,0.06744897959183672,0.6451721769573432,0.9605053886154118
Cellular senescence,Selumetinib,49,0.2174489795918367,0.13338860017322077,0.9158113520080801
Autophagy,MK-1775,49,-0.1293877551020408,0.375582100015997,0.9323688896375848
Autophagy,Paclitaxel,49,-0.10989795918367347,0.4522268898639845,0.9323688896375848
Autophagy,Gefitinib,49,0.10346938775510203,0.47926172935828226,0.9323688896375848
Autophagy,Gemcitabine,49,-0.11030612244897958,0.45053904333378725,0.9323688896375848
Autophagy,5-Fluorouracil,49,-0.03510204081632653,0.8107606644098592,0.9621202040318297
Autophagy,Palbociclib,49,-0.03204081632653061,0.8269992338175048,0.9669803857890183
Autophagy,Docetaxel,49,-0.06673469387755102,0.6486834634068122,0.9605053886154118
