drug,mean_diff_real_minus_random,n_pathways,Wilcoxon_P
MK-1775,0.0284,43,0.021
Paclitaxel,0.015,43,0.2321
Gefitinib,0.011,43,0.2274
Gemcitabine,0.0252,43,0.0363
5-Fluorouracil,0.009,43,0.4399
Palbociclib,0.0135,43,0.2182
Docetaxel,0.0106,43,0.4616
Cisplatin,0.0299,43,0.0423
AZD7762,0.0133,43,0.3593
AZD6738,0.0113,43,0.4189
Talazoparib,0.0352,43,0.0012
Niraparib,0.0283,43,0.0321
Olaparib,0.0276,43,0.019
Ribociclib,-0.0002,43,0.3984
Trametinib,-0.0038,43,0.2093
Erlotinib,0.0087,43,0.3167
Selumetinib,0.0146,43,0.0708
