drug,mean_diff_real_minus_random,n_pathways,Wilcoxon_P
MK-1775,0.0064,43,0.6712
Paclitaxel,0.0105,43,0.2418
Gefitinib,0.0017,43,0.8718
Gemcitabine,0.0118,43,0.1922
5-Fluorouracil,0.0067,43,0.3285
Palbociclib,0.0124,43,0.0599
Docetaxel,0.0082,43,0.2467
Cisplatin,0.0141,43,0.2467
AZD7762,0.0086,43,0.5618
AZD6738,0.0078,43,0.3406
Talazoparib,0.0157,43,0.1048
Niraparib,0.0126,43,0.3226
Olaparib,0.0129,43,0.372
Ribociclib,-0.0015,43,0.5378
Trametinib,0.0043,43,0.4989
Erlotinib,0.0031,43,0.7065
Selumetinib,0.0094,43,0.1158
