pathway,drug,n,rho,P,q
Cell cycle,MK-1775,805,0.10533440100332148,0.002768961909721073,0.00907673164128298
Cell cycle,Paclitaxel,805,0.08448129710401799,0.016506929549585343,0.04108628528438176
Cell cycle,Gefitinib,805,0.07492278293810604,0.03355049612512871,0.0727757052447154
Cell cycle,Gemcitabine,805,0.13018620658402114,0.00021244029184845444,0.0011022369812434328
Cell cycle,5-Fluorouracil,805,0.06807603859162335,0.0535167324089207,0.10747453678824459
Cell cycle,Palbociclib,805,0.15567320922593625,9.119775327906258e-06,7.87638903822902e-05
Cell cycle,Docetaxel,805,0.06760412179123411,0.055198215062931585,0.10947155582684154
Cell cycle,Cisplatin,805,0.12619571715885378,0.0003315853990828004,0.0015341071311995385
Cell cycle,AZD7762,805,0.08198042354538973,0.02000288672769831,0.04701643150465422
Cell cycle,AZD6738,805,0.061257887619069085,0.08239220627225567,0.14982264374382812
Cell cycle,Talazoparib,805,0.1266174176663804,0.00031653617393993756,0.001502519111364249
Cell cycle,Niraparib,805,0.15731404933012602,7.311554461846267e-06,6.598452236555088e-05
Cell cycle,Olaparib,805,0.1406960082683848,6.185016339103463e-05,0.00036461668902295415
Cell cycle,Ribociclib,805,0.0802641310041197,0.022760416890999845,0.052439071712156636
Cell cycle,Trametinib,805,0.02051177768663272,0.5611544091764544,0.658181314262693
Cell cycle,Erlotinib,805,0.06997007932303405,0.047191719260200854,0.09609233086130034
Cell cycle,Selumetinib,805,0.08423327316379588,0.016827917014935086,0.04134318721531231
Cellular senescence,MK-1775,805,0.21061874634962907,1.5963919191338348e-09,4.046953343565e-08
Cellular senescence,Paclitaxel,805,0.15734664531633402,7.279361388584673e-06,6.598452236555088e-05
Cellular senescence,Gefitinib,805,0.05884327725612186,0.09523958245228635,0.166555346345984
Cellular senescence,Gemcitabine,805,0.24750401468912697,1.0598201442757572e-12,8.115515206533537e-11
Cellular senescence,5-Fluorouracil,805,0.1671844912116206,1.8451600578650912e-06,2.0131522422378833e-05
Cellular senescence,Palbociclib,805,0.23363770190267685,1.9237730765363274e-11,8.789238243425346e-10
Cellular senescence,Docetaxel,805,0.13905521407566462,7.543361710076816e-05,0.00043079667266141816
Cellular senescence,Cisplatin,805,0.2956134129837841,1.0673216317368439e-17,3.901060563998164e-15
Cellular senescence,AZD7762,805,0.17600061281374213,5.031757021206151e-07,6.687662513639448e-06
Cellular senescence,AZD6738,805,0.1461260809065963,3.1563506649942373e-05,0.00021167819597346673
Cellular senescence,Talazoparib,805,0.22666466689409479,7.722186784829653e-11,2.822459269855238e-09
Cellular senescence,Niraparib,805,0.24728854072807516,1.1101935987049983e-12,8.115515206533537e-11
Cellular senescence,Olaparib,805,0.2145006591658326,7.83827780160946e-10,2.3941231393114635e-08
Cellular senescence,Ribociclib,805,0.06965265376644665,0.04820572958869473,0.0978844120259329
Cellular senescence,Trametinib,805,-0.1076705923705149,0.0022205035814344227,0.007656547726549826
Cellular senescence,Erlotinib,805,0.05946720169784371,0.09177556953550182,0.16244053590908436
Cellular senescence,Selumetinib,805,-0.0502314269013731,0.15448220195650983,0.24517933259058036
Autophagy,MK-1775,805,0.08245293882605222,0.01929677467763964,0.045650298671050415
Autophagy,Paclitaxel,805,-0.01254641822559597,0.7222642067700027,0.7868481894916125
Autophagy,Gefitinib,805,0.03092351537014617,0.3809081029958373,0.5013002867454509
Autophagy,Gemcitabine,805,0.07514067226863692,0.033037135824723694,0.07187543538057446
Autophagy,5-Fluorouracil,805,0.037090137678360655,0.2932277403726624,0.4146024723644414
Autophagy,Palbociclib,805,0.09752981369639757,0.0056147271408505065,0.016352053944070598
Autophagy,Docetaxel,805,0.017020671750026466,0.6296611053898393,0.7114594293394711
Autophagy,Cisplatin,805,0.06004373889073811,0.0886651772515429,0.15808352334360454
Autophagy,AZD7762,805,0.02500795346664179,0.47860565811986255,0.5870146578617778
Autophagy,AZD6738,805,0.051280571389005374,0.14604204453497036,0.23411564595408627
Autophagy,Talazoparib,805,0.024441606832597183,0.4886259658931481,0.598300805808863
Autophagy,Niraparib,805,0.04504774495354554,0.201679840240312,0.3033497185507574
Autophagy,Olaparib,805,0.007656192167715896,0.8282932051393269,0.8749744695908207
Autophagy,Ribociclib,805,0.0513196543675286,0.14573457501958886,0.23411564595408627
Autophagy,Trametinib,805,0.044941744738692675,0.20274392577997452,0.3043240446512554
Autophagy,Erlotinib,805,0.021089603076582624,0.5501723549197144,0.6476263952436573
Autophagy,Selumetinib,805,0.07373950493206945,0.036458826153040504,0.07770088022703384
HIF-1 signaling pathway,MK-1775,805,0.14009478829976618,6.653429183095023e-05,0.00038600450260654456
HIF-1 signaling pathway,Paclitaxel,805,0.10006047625105212,0.004487496059071223,0.013725354055150895
HIF-1 signaling pathway,Gefitinib,805,0.06180093168852038,0.0797052411626581,0.1460459143279261
HIF-1 signaling pathway,Gemcitabine,805,0.10099648943298857,0.004125410052399043,0.012724366026597891
HIF-1 signaling pathway,5-Fluorouracil,805,0.05221248994458682,0.1388445031528109,0.22859308965023598
HIF-1 signaling pathway,Palbociclib,805,0.14613944679147753,3.1510346783581893e-05,0.00021167819597346673
HIF-1 signaling pathway,Docetaxel,805,0.07234745890678686,0.040152178251541534,0.08321507844022283
HIF-1 signaling pathway,Cisplatin,805,0.09424415152785921,0.007456296339168788,0.021126172960978233
HIF-1 signaling pathway,AZD7762,805,0.12736944870456834,0.00029127072504641933,0.0013916267974440034
HIF-1 signaling pathway,AZD6738,805,0.06795579919860341,0.053941050172997246,0.1080298840450986
HIF-1 signaling pathway,Talazoparib,805,0.06695335185423314,0.057588859853827265,0.11316520578803153
