pathway,real_q005_rate,random_q005_rate,n_drugs
Cell cycle,0.706,0.224,17
Cellular senescence,0.882,0.238,17
Autophagy,0.412,0.368,17
HIF-1 signaling pathway,0.235,0.355,17
Homologous recombination,0.882,0.249,17
DNA replication,0.706,0.278,17
Regulation of actin cytoskeleton,0.941,0.324,17
Ferroptosis,0.235,0.254,17
Apoptosis,0.882,0.3,17
Hepatocellular carcinoma,0.412,0.331,17
Mitophagy,0.059,0.226,17
ErbB signaling pathway,0.0,0.342,17
Necroptosis,0.588,0.316,17
Central carbon metabolism in cancer,0.059,0.288,17
p53 signaling pathway,0.412,0.32,17
Colorectal cancer,0.529,0.256,17
Rap1 signaling pathway,0.882,0.293,17
mTOR signaling pathway,0.118,0.266,17
Hedgehog signaling pathway,0.118,0.284,17
AMPK signaling pathway,0.412,0.315,17
Viral carcinogenesis,0.882,0.309,17
Breast cancer,0.118,0.345,17
Notch signaling pathway,0.412,0.2,17
Glycolysis / Gluconeogenesis,0.176,0.3,17
Hippo signaling pathway,0.882,0.38,17
Base excision repair,0.471,0.247,17
Ras signaling pathway,0.0,0.274,17
FoxO signaling pathway,0.824,0.299,17
NF-kappa B signaling pathway,0.824,0.319,17
Oxidative phosphorylation,0.0,0.284,17
Focal adhesion,0.412,0.276,17
Transcriptional misregulation in cancer,0.882,0.361,17
Mismatch repair,0.294,0.201,17
Small cell lung cancer,0.353,0.315,17
VEGF signaling pathway,0.0,0.255,17
Non-small cell lung cancer,0.941,0.279,17
Chemokine signaling pathway,0.118,0.251,17
JAK-STAT signaling pathway,0.882,0.294,17
MAPK signaling pathway,0.882,0.264,17
Wnt signaling pathway,0.294,0.312,17
Antigen processing and presentation,0.0,0.371,17
TNF signaling pathway,0.706,0.265,17
Proteoglycans in cancer,0.882,0.293,17
