drug,n_real,median_abs_rho_real,median_abs_rho_random,p95_random,n_real_exceed_p95
MK-1775,43,0.106,0.066,0.176,11
Paclitaxel,43,0.074,0.056,0.144,9
Gefitinib,43,0.051,0.045,0.127,4
Gemcitabine,43,0.106,0.06,0.161,10
5-Fluorouracil,43,0.087,0.057,0.155,6
Palbociclib,43,0.094,0.068,0.175,7
Docetaxel,43,0.066,0.049,0.128,6
Cisplatin,43,0.099,0.066,0.17,11
AZD7762,43,0.085,0.066,0.173,10
AZD6738,43,0.079,0.057,0.144,9
Talazoparib,43,0.08,0.051,0.138,10
Niraparib,43,0.104,0.065,0.172,7
Olaparib,43,0.088,0.061,0.161,9
Ribociclib,43,0.067,0.053,0.143,7
Trametinib,43,0.055,0.056,0.146,2
Erlotinib,43,0.046,0.044,0.125,3
Selumetinib,43,0.06,0.043,0.118,4
