pathway,rep,drug,rho
Cell cycle,0,MK-1775,0.0028669975646174596
Cell cycle,0,Paclitaxel,-0.020044530211786496
Cell cycle,0,Gefitinib,0.02619196758528152
Cell cycle,0,Gemcitabine,-0.0042745368759059075
Cell cycle,0,5-Fluorouracil,-0.02251161160122664
Cell cycle,0,Palbociclib,-0.03677952137486696
Cell cycle,0,Docetaxel,-0.016039686683100112
Cell cycle,0,Cisplatin,-0.03645252614292408
Cell cycle,0,AZD7762,0.003744029724226915
Cell cycle,0,AZD6738,-0.017459716812880867
Cell cycle,0,Talazoparib,-0.04502043977667263
Cell cycle,0,Niraparib,-0.013363825264350686
Cell cycle,0,Olaparib,-0.0032959211770624552
Cell cycle,0,Ribociclib,0.0015502761457420141
Cell cycle,0,Trametinib,0.05298439602305964
Cell cycle,0,Erlotinib,0.012482698478386237
Cell cycle,0,Selumetinib,0.029103246923681915
Cell cycle,1,MK-1775,-0.02884277807976286
Cell cycle,1,Paclitaxel,-0.08627757288032349
Cell cycle,1,Gefitinib,-0.015625094170655284
Cell cycle,1,Gemcitabine,0.014462105268242882
Cell cycle,1,5-Fluorouracil,-0.018644283015972953
Cell cycle,1,Palbociclib,-0.09886522548201704
Cell cycle,1,Docetaxel,-0.07149384432445592
Cell cycle,1,Cisplatin,-0.002827431512198421
Cell cycle,1,AZD7762,-0.046906889346863385
Cell cycle,1,AZD6738,-0.055180403946391676
Cell cycle,1,Talazoparib,0.003664092496229148
Cell cycle,1,Niraparib,-0.054990509898299136
Cell cycle,1,Olaparib,-0.044061446079406756
Cell cycle,1,Ribociclib,-0.13473411727792
Cell cycle,1,Trametinib,0.002719038931385334
Cell cycle,1,Erlotinib,-0.011366912796650502
Cell cycle,1,Selumetinib,-0.01887597445781281
Cell cycle,2,MK-1775,0.11404383228502463
Cell cycle,2,Paclitaxel,0.0322798258449595
Cell cycle,2,Gefitinib,0.08144324537324474
Cell cycle,2,Gemcitabine,0.10124501945062536
Cell cycle,2,5-Fluorouracil,0.06369136086747189
Cell cycle,2,Palbociclib,0.11918957061395685
Cell cycle,2,Docetaxel,0.006546295424452278
Cell cycle,2,Cisplatin,0.08105105838040044
Cell cycle,2,AZD7762,0.1020834977126451
Cell cycle,2,AZD6738,0.09186163107370533
Cell cycle,2,Talazoparib,0.06418103677319519
Cell cycle,2,Niraparib,0.06067865901446944
Cell cycle,2,Olaparib,0.04793220218896884
Cell cycle,2,Ribociclib,0.06104696835474922
Cell cycle,2,Trametinib,0.09258157220309988
Cell cycle,2,Erlotinib,0.11330700657279544
Cell cycle,2,Selumetinib,0.10458671763019589
Cell cycle,3,MK-1775,-0.010570761009311593
Cell cycle,3,Paclitaxel,-0.040426798087303414
Cell cycle,3,Gefitinib,-0.04446899942284171
Cell cycle,3,Gemcitabine,-0.06601388814446946
Cell cycle,3,5-Fluorouracil,-0.03469213585602189
Cell cycle,3,Palbociclib,-0.03109229236674402
Cell cycle,3,Docetaxel,-0.04489579546798356
Cell cycle,3,Cisplatin,-0.031147063566313738
Cell cycle,3,AZD7762,-0.061011496928685176
Cell cycle,3,AZD6738,-0.06837715465334732
Cell cycle,3,Talazoparib,-0.019069894121703793
Cell cycle,3,Niraparib,-0.025623136571201296
Cell cycle,3,Olaparib,-0.03239281912954224
Cell cycle,3,Ribociclib,-0.009402757339790267
Cell cycle,3,Trametinib,-0.10985762892149611
Cell cycle,3,Erlotinib,-0.047462723372794335
Cell cycle,3,Selumetinib,-0.1272367414043326
Cell cycle,4,MK-1775,0.04295279148851399
Cell cycle,4,Paclitaxel,0.0329551861548261
Cell cycle,4,Gefitinib,0.010211745090646516
Cell cycle,4,Gemcitabine,0.041102250411245406
Cell cycle,4,5-Fluorouracil,0.04256467611850585
Cell cycle,4,Palbociclib,0.009925431850381387
Cell cycle,4,Docetaxel,0.025291552494211465
Cell cycle,4,Cisplatin,0.07207170380853158
Cell cycle,4,AZD7762,0.050685861416220834
Cell cycle,4,AZD6738,0.010206063221490992
Cell cycle,4,Talazoparib,0.00233952687742644
Cell cycle,4,Niraparib,0.023740137528837784
Cell cycle,4,Olaparib,0.0031813636531980295
Cell cycle,4,Ribociclib,-0.008536835879784531
Cell cycle,4,Trametinib,-0.004813003245106403
Cell cycle,4,Erlotinib,0.00535227473746659
Cell cycle,4,Selumetinib,-0.015951974173489317
Cell cycle,5,MK-1775,0.007502436647734004
Cell cycle,5,Paclitaxel,0.029082520753199614
Cell cycle,5,Gefitinib,-0.04442474065257762
Cell cycle,5,Gemcitabine,0.0498874092769971
Cell cycle,5,5-Fluorouracil,0.007314175849479694
Cell cycle,5,Palbociclib,0.02412978277161683
Cell cycle,5,Docetaxel,0.01067709483659045
Cell cycle,5,Cisplatin,0.070389456475157
Cell cycle,5,AZD7762,-0.011988536886487525
Cell cycle,5,AZD6738,0.006821946553164237
Cell cycle,5,Talazoparib,0.07159325362000625
Cell cycle,5,Niraparib,0.0557559059809379
Cell cycle,5,Olaparib,0.038072479947257536
Cell cycle,5,Ribociclib,0.025913440979066567
Cell cycle,5,Trametinib,-0.04285139197743079
Cell cycle,5,Erlotinib,-0.038523463934278024
Cell cycle,5,Selumetinib,-0.04633145632287371
Cell cycle,6,MK-1775,0.02552132299677882
Cell cycle,6,Paclitaxel,-0.002730149630989052
Cell cycle,6,Gefitinib,-0.006866044298796387
Cell cycle,6,Gemcitabine,0.02634510201025451
Cell cycle,6,5-Fluorouracil,0.00868806101269311
Cell cycle,6,Palbociclib,-0.02256686618327954
Cell cycle,6,Docetaxel,0.0061162216335915644
Cell cycle,6,Cisplatin,0.0348049681159727
Cell cycle,6,AZD7762,0.01743988777963365
Cell cycle,6,AZD6738,0.01074492065051191
Cell cycle,6,Talazoparib,0.034059470077137693
Cell cycle,6,Niraparib,0.018106920815677174
Cell cycle,6,Olaparib,-0.015242361624057631
Cell cycle,6,Ribociclib,-0.009960178608521743
Cell cycle,6,Trametinib,-0.009339014589061688
Cell cycle,6,Erlotinib,-0.0012478488834437001
Cell cycle,6,Selumetinib,-0.001363924639552112
Cell cycle,7,MK-1775,0.10184605539109316
Cell cycle,7,Paclitaxel,0.05911485679964463
Cell cycle,7,Gefitinib,0.026363182776069253
Cell cycle,7,Gemcitabine,0.08572762775521771
Cell cycle,7,5-Fluorouracil,0.052252539070901674
Cell cycle,7,Palbociclib,0.0786229224005214
Cell cycle,7,Docetaxel,0.06390701922419609
Cell cycle,7,Cisplatin,0.06960354125370558
Cell cycle,7,AZD7762,0.07739660435856871
Cell cycle,7,AZD6738,0.053423418180279035
Cell cycle,7,Talazoparib,0.05856477365342576
Cell cycle,7,Niraparib,0.06649174024150474
Cell cycle,7,Olaparib,0.059583484485621764
Cell cycle,7,Ribociclib,0.038435958548579174
Cell cycle,7,Trametinib,0.05003433275188105
Cell cycle,7,Erlotinib,0.048036040073049964
Cell cycle,7,Selumetinib,0.01736197486129453
Cell cycle,8,MK-1775,0.15197714094325007
Cell cycle,8,Paclitaxel,0.07846284046070527
Cell cycle,8,Gefitinib,0.06783723906245938
Cell cycle,8,Gemcitabine,0.1188359483350168
Cell cycle,8,5-Fluorouracil,0.09739452944116862
Cell cycle,8,Palbociclib,0.09207073358952392
Cell cycle,8,Docetaxel,0.0587413259984006
Cell cycle,8,Cisplatin,0.13440567303580428
Cell cycle,8,AZD7762,0.11349356511065498
Cell cycle,8,AZD6738,0.08566889977159806
Cell cycle,8,Talazoparib,0.12466430389856735
Cell cycle,8,Niraparib,0.09037558075258773
Cell cycle,8,Olaparib,0.08654337854061535
Cell cycle,8,Ribociclib,0.048505748924412964
Cell cycle,8,Trametinib,0.04848382657095055
Cell cycle,8,Erlotinib,0.08958292550011375
Cell cycle,8,Selumetinib,0.07174107423212528
Cell cycle,9,MK-1775,0.08025368740656258
Cell cycle,9,Paclitaxel,0.071145720160813
Cell cycle,9,Gefitinib,0.02501347431116538
Cell cycle,9,Gemcitabine,0.0871813581323535
Cell cycle,9,5-Fluorouracil,0.04489274724354585
Cell cycle,9,Palbociclib,0.034144813328427524
Cell cycle,9,Docetaxel,0.08162220171752439
Cell cycle,9,Cisplatin,0.11297501978877708
Cell cycle,9,AZD7762,0.07603877565151142
Cell cycle,9,AZD6738,0.05863383021700829
Cell cycle,9,Talazoparib,0.06793843154187296
Cell cycle,9,Niraparib,0.05666334879246478
Cell cycle,9,Olaparib,0.061036225711447074
Cell cycle,9,Ribociclib,0.02319605830103831
Cell cycle,9,Trametinib,0.06611623079982544
Cell cycle,9,Erlotinib,0.05781927561459076
Cell cycle,9,Selumetinib,0.059818327409543834
Cell cycle,10,MK-1775,-0.014666123476908263
Cell cycle,10,Paclitaxel,-0.04258634543326092
Cell cycle,10,Gefitinib,0.030503379101901214
Cell cycle,10,Gemcitabine,-0.013260631478797311
Cell cycle,10,5-Fluorouracil,0.012112893909381316
Cell cycle,10,Palbociclib,0.00655647448160118
Cell cycle,10,Docetaxel,-0.07242163375373971
Cell cycle,10,Cisplatin,-0.07447186796164208
Cell cycle,10,AZD7762,-0.008906410413600968
Cell cycle,10,AZD6738,-0.01381894988476387
Cell cycle,10,Talazoparib,-0.08055733385535983
Cell cycle,10,Niraparib,-0.11289577266634476
Cell cycle,10,Olaparib,-0.13162601983225372
Cell cycle,10,Ribociclib,-0.03401824777136159
Cell cycle,10,Trametinib,0.1477034321940227
Cell cycle,10,Erlotinib,0.022853765940575928
Cell cycle,10,Selumetinib,0.10249604281967013
Cell cycle,11,MK-1775,-0.05960533782852762
Cell cycle,11,Paclitaxel,-0.061287677175977606
Cell cycle,11,Gefitinib,-0.06446301390723738
Cell cycle,11,Gemcitabine,-0.06692305621990996
Cell cycle,11,5-Fluorouracil,-0.039159120170612495
Cell cycle,11,Palbociclib,-0.09086010439261454
Cell cycle,11,Docetaxel,-0.0313186699970318
Cell cycle,11,Cisplatin,-0.07082440700954025
Cell cycle,11,AZD7762,-0.059752353317486975
Cell cycle,11,AZD6738,-0.05828939852929302
Cell cycle,11,Talazoparib,-0.046336034023124514
Cell cycle,11,Niraparib,-0.07426529636238455
Cell cycle,11,Olaparib,-0.03914695130914175
Cell cycle,11,Ribociclib,-0.08433124515057068
Cell cycle,11,Trametinib,0.009625086349458875
Cell cycle,11,Erlotinib,-0.05085371809325672
Cell cycle,11,Selumetinib,-0.020400969736340566
Cell cycle,12,MK-1775,-0.013485812924803105
Cell cycle,12,Paclitaxel,-0.102705443851746
Cell cycle,12,Gefitinib,-0.060025727135479906
Cell cycle,12,Gemcitabine,-0.04827647285205217
Cell cycle,12,5-Fluorouracil,-0.06357298475947865
Cell cycle,12,Palbociclib,-0.05952568848684055
Cell cycle,12,Docetaxel,-0.07828501220845636
Cell cycle,12,Cisplatin,-0.05263402942748152
Cell cycle,12,AZD7762,-0.08943588700763555
Cell cycle,12,AZD6738,-0.0483563410694934
Cell cycle,12,Talazoparib,-0.0008924905242754984
Cell cycle,12,Niraparib,-0.04285424441376797
Cell cycle,12,Olaparib,-0.04760720847468037
Cell cycle,12,Ribociclib,-0.04496382811678703
Cell cycle,12,Trametinib,0.010920023435985002
Cell cycle,12,Erlotinib,-0.03752232779048211
Cell cycle,12,Selumetinib,-0.018254235350381547
Cell cycle,13,MK-1775,-0.10649251315973804
Cell cycle,13,Paclitaxel,-0.1255622462568099
Cell cycle,13,Gefitinib,-0.024077369115153544
Cell cycle,13,Gemcitabine,-0.04758609124437765
Cell cycle,13,5-Fluorouracil,-0.08117168883324082
Cell cycle,13,Palbociclib,-0.13977179669542836
Cell cycle,13,Docetaxel,-0.12050051815714048
Cell cycle,13,Cisplatin,-0.10036048814387137
Cell cycle,13,AZD7762,-0.13054174897134013
Cell cycle,13,AZD6738,-0.10489889838448586
Cell cycle,13,Talazoparib,-0.10133082257592943
Cell cycle,13,Niraparib,-0.13818407001719052
Cell cycle,13,Olaparib,-0.13825954456253173
Cell cycle,13,Ribociclib,-0.16810757641596435
Cell cycle,13,Trametinib,0.03384510028499059
Cell cycle,13,Erlotinib,-0.0077555673691404575
Cell cycle,13,Selumetinib,-0.011207452403994239
Cell cycle,14,MK-1775,-0.001554991867105911
Cell cycle,14,Paclitaxel,0.03140150548829454
