pathway,rep,drug,rho
Cell cycle,0,MK-1775,0.016425685637131912
Cell cycle,0,Paclitaxel,0.010376542299675582
Cell cycle,0,Gefitinib,0.006969422112500548
Cell cycle,0,Gemcitabine,0.009309386056785107
Cell cycle,0,5-Fluorouracil,-0.01813151157732598
Cell cycle,0,Palbociclib,-0.03460383704792529
Cell cycle,0,Docetaxel,0.05129280955601144
Cell cycle,0,Cisplatin,0.004842907819609166
Cell cycle,0,AZD7762,0.014320127549911308
Cell cycle,0,AZD6738,0.012680091673623313
Cell cycle,0,Talazoparib,-0.003736162520780804
Cell cycle,0,Niraparib,0.010639150470847526
Cell cycle,0,Olaparib,0.04217890710742023
Cell cycle,0,Ribociclib,-0.03570500379443043
Cell cycle,0,Trametinib,0.010538326047735521
Cell cycle,0,Erlotinib,0.011540451342841915
Cell cycle,0,Selumetinib,0.01420294762489818
Cell cycle,1,MK-1775,0.014088666143259933
Cell cycle,1,Paclitaxel,-0.01796176861174454
Cell cycle,1,Gefitinib,-0.031264197484289165
Cell cycle,1,Gemcitabine,0.05786914724345383
Cell cycle,1,5-Fluorouracil,0.006909866002202356
Cell cycle,1,Palbociclib,-0.011980002649890369
Cell cycle,1,Docetaxel,0.0020368925951724163
Cell cycle,1,Cisplatin,0.033255198047645346
Cell cycle,1,AZD7762,-0.004488745643421073
Cell cycle,1,AZD6738,0.007392732866346565
Cell cycle,1,Talazoparib,0.03798025884019478
Cell cycle,1,Niraparib,-0.011816700600690889
Cell cycle,1,Olaparib,-0.012559392210226396
Cell cycle,1,Ribociclib,-0.08324322471608482
Cell cycle,1,Trametinib,0.029227120872679892
Cell cycle,1,Erlotinib,-0.025405247240670406
Cell cycle,1,Selumetinib,0.027708267533684623
Cell cycle,2,MK-1775,0.05051209283484094
Cell cycle,2,Paclitaxel,0.0059322624581882285
Cell cycle,2,Gefitinib,-0.004089910633629626
Cell cycle,2,Gemcitabine,0.02209004911481309
Cell cycle,2,5-Fluorouracil,0.024025496180150676
Cell cycle,2,Palbociclib,0.052535172107354505
Cell cycle,2,Docetaxel,0.02411008025760997
Cell cycle,2,Cisplatin,0.015964304059591997
Cell cycle,2,AZD7762,0.009357762456923035
Cell cycle,2,AZD6738,0.02837023979558153
Cell cycle,2,Talazoparib,0.003289135139002213
Cell cycle,2,Niraparib,0.015468624235449296
Cell cycle,2,Olaparib,-0.004726118954416456
Cell cycle,2,Ribociclib,0.022770171153081286
Cell cycle,2,Trametinib,0.07558972396007416
Cell cycle,2,Erlotinib,0.03469432119031248
Cell cycle,2,Selumetinib,0.035893885687693645
Cell cycle,3,MK-1775,-0.02453863567509922
Cell cycle,3,Paclitaxel,-0.0159408634738856
Cell cycle,3,Gefitinib,-0.03359553510900562
Cell cycle,3,Gemcitabine,-0.07226431227184822
Cell cycle,3,5-Fluorouracil,-0.07282529908600117
Cell cycle,3,Palbociclib,-0.04646626871230596
Cell cycle,3,Docetaxel,-0.02491582451694235
Cell cycle,3,Cisplatin,-0.0563944836641661
Cell cycle,3,AZD7762,-0.04669309464268749
Cell cycle,3,AZD6738,-0.032695200384802864
Cell cycle,3,Talazoparib,-0.047532792091206186
Cell cycle,3,Niraparib,-0.048753933889267034
Cell cycle,3,Olaparib,-0.025420981647562624
Cell cycle,3,Ribociclib,-0.05387835877254143
Cell cycle,3,Trametinib,-0.06846590222906397
Cell cycle,3,Erlotinib,-0.010993496675186403
Cell cycle,3,Selumetinib,-0.09176161177375301
Cell cycle,4,MK-1775,0.09074506327232877
Cell cycle,4,Paclitaxel,0.06494818112326642
Cell cycle,4,Gefitinib,0.02704712339846626
Cell cycle,4,Gemcitabine,0.08441414983249988
Cell cycle,4,5-Fluorouracil,0.06578470408618406
Cell cycle,4,Palbociclib,0.017490219579457834
Cell cycle,4,Docetaxel,0.06626997519915857
Cell cycle,4,Cisplatin,0.11926981770401418
Cell cycle,4,AZD7762,0.06835286293744354
Cell cycle,4,AZD6738,0.04062759580333004
Cell cycle,4,Talazoparib,0.08415956988940598
Cell cycle,4,Niraparib,0.08354484685522343
Cell cycle,4,Olaparib,0.05969111795031285
Cell cycle,4,Ribociclib,0.024324748956847927
Cell cycle,4,Trametinib,-0.0065727724369996875
Cell cycle,4,Erlotinib,0.024680360354723457
Cell cycle,4,Selumetinib,0.018570234688800345
Cell cycle,5,MK-1775,0.034410549781800116
Cell cycle,5,Paclitaxel,0.01170872208321707
Cell cycle,5,Gefitinib,-0.05609198739131124
Cell cycle,5,Gemcitabine,0.06586889696516876
Cell cycle,5,5-Fluorouracil,0.020864237602426044
Cell cycle,5,Palbociclib,0.029352915784306793
Cell cycle,5,Docetaxel,0.017298209206527023
Cell cycle,5,Cisplatin,0.053594311321802895
Cell cycle,5,AZD7762,0.030937317481455135
Cell cycle,5,AZD6738,0.03746343878223052
Cell cycle,5,Talazoparib,0.06729994587272015
Cell cycle,5,Niraparib,0.06214982605889222
Cell cycle,5,Olaparib,0.0480010287173629
Cell cycle,5,Ribociclib,0.010426229900387864
Cell cycle,5,Trametinib,-0.041617483226409145
Cell cycle,5,Erlotinib,0.0074721180098919725
Cell cycle,5,Selumetinib,-0.031933507868698675
Cell cycle,6,MK-1775,-0.03920199872974568
Cell cycle,6,Paclitaxel,-0.04407182066640734
Cell cycle,6,Gefitinib,-0.03450824572634876
Cell cycle,6,Gemcitabine,-0.01552107225842337
Cell cycle,6,5-Fluorouracil,-0.02058299658098699
Cell cycle,6,Palbociclib,-0.07326636897774415
Cell cycle,6,Docetaxel,-0.01918232393039
Cell cycle,6,Cisplatin,-0.04976912518307925
Cell cycle,6,AZD7762,-0.036949885223942706
Cell cycle,6,AZD6738,-0.031973672012607764
Cell cycle,6,Talazoparib,-0.021937236739103978
Cell cycle,6,Niraparib,-0.017961653594150296
Cell cycle,6,Olaparib,-0.05552361644760798
Cell cycle,6,Ribociclib,-0.006064325659896194
Cell cycle,6,Trametinib,0.006040102954548957
Cell cycle,6,Erlotinib,-0.036820076367081865
Cell cycle,6,Selumetinib,0.01872461130379114
Cell cycle,7,MK-1775,0.04357266731091855
Cell cycle,7,Paclitaxel,-0.013232636196358958
Cell cycle,7,Gefitinib,-0.004275134967395962
Cell cycle,7,Gemcitabine,0.07312643815124399
Cell cycle,7,5-Fluorouracil,0.0429385983173846
Cell cycle,7,Palbociclib,0.006426930164462105
Cell cycle,7,Docetaxel,0.034977747747194934
Cell cycle,7,Cisplatin,0.03342257165078542
Cell cycle,7,AZD7762,-0.00779773281918935
Cell cycle,7,AZD6738,-0.0030394549454230008
Cell cycle,7,Talazoparib,0.027262988419338503
Cell cycle,7,Niraparib,0.021711365187532736
Cell cycle,7,Olaparib,-0.0004966459719343267
Cell cycle,7,Ribociclib,-0.04571657226405924
Cell cycle,7,Trametinib,0.03434515077771447
Cell cycle,7,Erlotinib,0.03008754449168089
Cell cycle,7,Selumetinib,0.008872204181073578
Cell cycle,8,MK-1775,0.108257941217268
Cell cycle,8,Paclitaxel,0.03225861660058139
Cell cycle,8,Gefitinib,0.0030938122604614827
Cell cycle,8,Gemcitabine,0.07493469876086946
Cell cycle,8,5-Fluorouracil,0.04360639046955012
Cell cycle,8,Palbociclib,0.05904827345391782
Cell cycle,8,Docetaxel,0.050931447276345694
Cell cycle,8,Cisplatin,0.08430322686461349
Cell cycle,8,AZD7762,0.07057226543944427
Cell cycle,8,AZD6738,0.06527947780171932
Cell cycle,8,Talazoparib,0.07374325450564172
Cell cycle,8,Niraparib,0.03233213584682049
Cell cycle,8,Olaparib,0.053342146748188074
Cell cycle,8,Ribociclib,0.004374901228640945
Cell cycle,8,Trametinib,0.08395794404670082
Cell cycle,8,Erlotinib,0.04948703303144282
Cell cycle,8,Selumetinib,0.09604868556743124
Cell cycle,9,MK-1775,0.058733895523998304
Cell cycle,9,Paclitaxel,0.0509641579872473
Cell cycle,9,Gefitinib,0.05866318270705869
Cell cycle,9,Gemcitabine,0.06492303827716525
Cell cycle,9,5-Fluorouracil,0.03699584625460157
Cell cycle,9,Palbociclib,0.03122972689089343
Cell cycle,9,Docetaxel,0.06893150534872934
Cell cycle,9,Cisplatin,0.08593544154449305
Cell cycle,9,AZD7762,0.05020175236205882
Cell cycle,9,AZD6738,0.03969940381780201
Cell cycle,9,Talazoparib,0.07113644974271714
Cell cycle,9,Niraparib,0.05942032052643092
Cell cycle,9,Olaparib,0.06803375812398023
Cell cycle,9,Ribociclib,0.02139663104265059
Cell cycle,9,Trametinib,0.05952852907909322
Cell cycle,9,Erlotinib,0.08979402879258441
Cell cycle,9,Selumetinib,0.0727333080141269
Cell cycle,10,MK-1775,-0.06077927640591181
Cell cycle,10,Paclitaxel,-0.0776021868065158
Cell cycle,10,Gefitinib,-0.030898349520526155
Cell cycle,10,Gemcitabine,-0.056741491745992384
Cell cycle,10,5-Fluorouracil,-0.010651848413251775
Cell cycle,10,Palbociclib,-0.028533277399510146
Cell cycle,10,Docetaxel,-0.0593399925798699
Cell cycle,10,Cisplatin,-0.06907045770791558
Cell cycle,10,AZD7762,-0.07380435185170275
Cell cycle,10,AZD6738,-0.06330711008863026
Cell cycle,10,Talazoparib,-0.09063915507155129
Cell cycle,10,Niraparib,-0.10897737626924789
Cell cycle,10,Olaparib,-0.11132925603629586
Cell cycle,10,Ribociclib,-0.08175627725773212
Cell cycle,10,Trametinib,0.09548245395098089
Cell cycle,10,Erlotinib,-0.009216037777298793
Cell cycle,10,Selumetinib,0.06534628002045473
Cell cycle,11,MK-1775,-0.035408626457589215
Cell cycle,11,Paclitaxel,-0.053939548132677845
Cell cycle,11,Gefitinib,-0.04621517353509566
Cell cycle,11,Gemcitabine,-0.009730879532642107
Cell cycle,11,5-Fluorouracil,-0.009965124365074126
Cell cycle,11,Palbociclib,-0.037631433696793344
Cell cycle,11,Docetaxel,-0.016703280696892066
Cell cycle,11,Cisplatin,-0.02229192799622558
Cell cycle,11,AZD7762,-0.0256204221559772
Cell cycle,11,AZD6738,-0.031548635994848126
Cell cycle,11,Talazoparib,0.002897477227091428
Cell cycle,11,Niraparib,-0.016612313185547994
Cell cycle,11,Olaparib,-0.011380668900921773
Cell cycle,11,Ribociclib,-0.06578541719526836
Cell cycle,11,Trametinib,0.026067817594057362
Cell cycle,11,Erlotinib,-0.012253583430657388
Cell cycle,11,Selumetinib,0.030979919998362148
Cell cycle,12,MK-1775,0.012780202987651021
Cell cycle,12,Paclitaxel,-0.03713191206858913
Cell cycle,12,Gefitinib,-0.024153487759022495
Cell cycle,12,Gemcitabine,0.012669648076066197
Cell cycle,12,5-Fluorouracil,4.672014678085306e-05
Cell cycle,12,Palbociclib,-0.019253933884976506
Cell cycle,12,Docetaxel,-0.012378182061684522
Cell cycle,12,Cisplatin,0.0005288739018407645
Cell cycle,12,AZD7762,-0.056761297775720754
Cell cycle,12,AZD6738,-0.014623612974076643
Cell cycle,12,Talazoparib,0.03194075397713588
Cell cycle,12,Niraparib,0.014294478626395478
Cell cycle,12,Olaparib,-0.0315924576982541
Cell cycle,12,Ribociclib,-0.029281869247538794
Cell cycle,12,Trametinib,0.0051329591887671056
Cell cycle,12,Erlotinib,0.012292367363435586
Cell cycle,12,Selumetinib,0.010045291628260374
Cell cycle,13,MK-1775,-0.04401178148221333
Cell cycle,13,Paclitaxel,-0.06242175065519772
Cell cycle,13,Gefitinib,-0.010700914918955152
Cell cycle,13,Gemcitabine,-0.014226986302094631
Cell cycle,13,5-Fluorouracil,-0.07430421831627584
Cell cycle,13,Palbociclib,-0.09155591483473878
Cell cycle,13,Docetaxel,-0.0771134314850165
Cell cycle,13,Cisplatin,-0.02995076556860903
Cell cycle,13,AZD7762,-0.08699378743966464
Cell cycle,13,AZD6738,-0.06273243618076257
Cell cycle,13,Talazoparib,-0.05520833021827348
Cell cycle,13,Niraparib,-0.07076701323001379
Cell cycle,13,Olaparib,-0.0656117636314827
Cell cycle,13,Ribociclib,-0.11739901052664027
Cell cycle,13,Trametinib,-0.033411322930068606
Cell cycle,13,Erlotinib,0.03696980627126531
Cell cycle,13,Selumetinib,-0.03259899966897936
Cell cycle,14,MK-1775,-0.01318301760620322
Cell cycle,14,Paclitaxel,-0.000893870735406395
Cell cycle,14,Gefitinib,0.027726992398027124
Cell cycle,14,Gemcitabine,0.020433542719029727
Cell cycle,14,5-Fluorouracil,0.015813562000579227
Cell cycle,14,Palbociclib,0.02445938869332991
Cell cycle,14,Docetaxel,0.04547573718500268
Cell cycle,14,Cisplatin,-0.001587725874427011
Cell cycle,14,AZD7762,-0.0029319134948073006
Cell cycle,14,AZD6738,-0.018356301963511356
Cell cycle,14,Talazoparib,0.015211835954545967
Cell cycle,14,Niraparib,-0.012376031161486773
Cell cycle,14,Olaparib,0.001309015240061272
Cell cycle,14,Ribociclib,0.01776237411036766
Cell cycle,14,Trametinib,0.06757939261968902
Cell cycle,14,Erlotinib,-0.014290291985965093
Cell cycle,14,Selumetinib,0.017998827280609114
Cell cycle,15,MK-1775,-0.03125007332371633
Cell cycle,15,Paclitaxel,-0.016637479035168008
Cell cycle,15,Gefitinib,-0.036210920184460614
Cell cycle,15,Gemcitabine,-0.02830350658740267
Cell cycle,15,5-Fluorouracil,-0.04342059104781258
Cell cycle,15,Palbociclib,-0.05900340509014622
Cell cycle,15,Docetaxel,-0.015374528430017478
Cell cycle,15,Cisplatin,-0.04416680219573187
Cell cycle,15,AZD7762,-0.03092268724346763
Cell cycle,15,AZD6738,-0.001422675626690615
Cell cycle,15,Talazoparib,-0.0003724499736724727
Cell cycle,15,Niraparib,-0.04195742922794899
Cell cycle,15,Olaparib,-0.02399211807430182
Cell cycle,15,Ribociclib,-0.008442475445468894
Cell cycle,15,Trametinib,0.02835537952240554
Cell cycle,15,Erlotinib,-0.003496350836787503
Cell cycle,15,Selumetinib,0.0724116728135903
Cell cycle,16,MK-1775,0.02766865547422789
Cell cycle,16,Paclitaxel,-0.010486913183109622
Cell cycle,16,Gefitinib,0.0029279568895653964
Cell cycle,16,Gemcitabine,-0.013468560285666896
Cell cycle,16,5-Fluorouracil,-0.010671263383159723
Cell cycle,16,Palbociclib,-0.0344892220146046
Cell cycle,16,Docetaxel,-0.012715919727357233
Cell cycle,16,Cisplatin,-0.0069301321023076895
Cell cycle,16,AZD7762,0.01519722872007731
Cell cycle,16,AZD6738,0.02400299873871706
Cell cycle,16,Talazoparib,-0.010464645776864486
Cell cycle,16,Niraparib,-0.050381363837226176
Cell cycle,16,Olaparib,-0.039386924017767
Cell cycle,16,Ribociclib,-0.09699654556157455
Cell cycle,16,Trametinib,0.008113364101306576
Cell cycle,16,Erlotinib,0.009599161383716867
Cell cycle,16,Selumetinib,-0.017008295759002253
Cell cycle,17,MK-1775,0.05459965710954804
Cell cycle,17,Paclitaxel,-0.00980085623697857
Cell cycle,17,Gefitinib,0.0013490643663761244
Cell cycle,17,Gemcitabine,0.10380008929966017
Cell cycle,17,5-Fluorouracil,0.03147536978731636
Cell cycle,17,Palbociclib,0.02913146090708086
Cell cycle,17,Docetaxel,0.008128730498644578
Cell cycle,17,Cisplatin,0.08286771527440553
Cell cycle,17,AZD7762,0.04363401769568691
Cell cycle,17,AZD6738,0.04743150759771722
Cell cycle,17,Talazoparib,0.07040121127328848
Cell cycle,17,Niraparib,0.0024386260366248223
Cell cycle,17,Olaparib,-0.015623391910260511
Cell cycle,17,Ribociclib,-0.061574738087685266
Cell cycle,17,Trametinib,0.08215474421122199
Cell cycle,17,Erlotinib,0.032220499769849795
Cell cycle,17,Selumetinib,0.07327384470002375
Cell cycle,18,MK-1775,-0.025241301161838727
Cell cycle,18,Paclitaxel,-0.027389875829305608
Cell cycle,18,Gefitinib,-0.039379355860065905
Cell cycle,18,Gemcitabine,-0.0518580287226537
Cell cycle,18,5-Fluorouracil,-0.041866013244045944
Cell cycle,18,Palbociclib,-0.05156828819756324
Cell cycle,18,Docetaxel,-0.03504450395927655
Cell cycle,18,Cisplatin,-0.0330827866738775
Cell cycle,18,AZD7762,-0.055704125060010434
Cell cycle,18,AZD6738,-0.031890767330678575
Cell cycle,18,Talazoparib,-0.042543558888203124
Cell cycle,18,Niraparib,-0.07012884961012486
Cell cycle,18,Olaparib,-0.04986226643089593
Cell cycle,18,Ribociclib,-0.02913441669172133
Cell cycle,18,Trametinib,0.012117632634264063
Cell cycle,18,Erlotinib,-0.022172769768591498
Cell cycle,18,Selumetinib,0.005390207540047401
Cell cycle,19,MK-1775,0.06239877013986828
Cell cycle,19,Paclitaxel,0.017782318161209117
Cell cycle,19,Gefitinib,0.059198957664553936
Cell cycle,19,Gemcitabine,0.02755934275266087
Cell cycle,19,5-Fluorouracil,-0.01587698270204393
Cell cycle,19,Palbociclib,-0.01893505910486786
Cell cycle,19,Docetaxel,0.019769603769963916
Cell cycle,19,Cisplatin,-0.008894747629544892
Cell cycle,19,AZD7762,0.028583643439937006
Cell cycle,19,AZD6738,0.04752984764079361
Cell cycle,19,Talazoparib,-0.006048683267079364
Cell cycle,19,Niraparib,-0.05190097629234344
Cell cycle,19,Olaparib,-0.03714138951835462
Cell cycle,19,Ribociclib,-0.04263568798119048
Cell cycle,19,Trametinib,0.048895014470363526
Cell cycle,19,Erlotinib,0.07543074664131372
Cell cycle,19,Selumetinib,0.007080000027604222
Cell cycle,20,MK-1775,0.039812696148129774
Cell cycle,20,Paclitaxel,-0.026631817869179446
Cell cycle,20,Gefitinib,-0.010886024235127247
Cell cycle,20,Gemcitabine,0.026000440287350757
Cell cycle,20,5-Fluorouracil,-0.009245919348282707
Cell cycle,20,Palbociclib,0.026554319166890297
Cell cycle,20,Docetaxel,-0.010586518480604459
Cell cycle,20,Cisplatin,0.0376146179081014
Cell cycle,20,AZD7762,0.055235566384589846
Cell cycle,20,AZD6738,0.031741198451127065
Cell cycle,20,Talazoparib,0.0322938809949758
Cell cycle,20,Niraparib,0.013346779656884113
Cell cycle,20,Olaparib,-0.022925766954571037
Cell cycle,20,Ribociclib,0.005420572184927128
Cell cycle,20,Trametinib,0.04680249937832989
Cell cycle,20,Erlotinib,0.035404830876979244
Cell cycle,20,Selumetinib,0.026275355341106525
Cell cycle,21,MK-1775,0.05609506986283691
Cell cycle,21,Paclitaxel,0.006216608954671796
Cell cycle,21,Gefitinib,-0.023087711727262917
Cell cycle,21,Gemcitabine,-0.005568599828715798
Cell cycle,21,5-Fluorouracil,0.001077990900268014
