pathway,rep,mean_diff
Cell cycle,0,-0.17278596456494744
Cell cycle,1,0.31162125907144456
Cell cycle,2,-0.04146145464799367
Cell cycle,3,0.10573237782406644
Cell cycle,4,-0.2715066843081185
Cell cycle,5,0.379641016277109
Cell cycle,6,0.32488780081947116
Cell cycle,7,0.24259187733274906
Cell cycle,8,-0.2302648386095875
Cell cycle,9,-0.06161618385316633
Cell cycle,10,0.16939264786939545
Cell cycle,11,-0.03835755935375778
Cell cycle,12,-0.09558596381432924
Cell cycle,13,0.03567328386681306
Cell cycle,14,0.22716538844011325
Cell cycle,15,-0.022450971929256124
Cell cycle,16,-0.17918297599287336
Cell cycle,17,0.12126787366235632
Cell cycle,18,0.03984336836973767
Cell cycle,19,-0.015610332129881487
Cell cycle,20,-0.14364127195852758
Cell cycle,21,0.018856659384497685
Cell cycle,22,-0.1285879785156308
Cell cycle,23,-0.06477736157649203
Cell cycle,24,-0.18268136418897082
Cell cycle,25,0.056407905671498185
Cell cycle,26,-0.025034891520894643
Cell cycle,27,0.02308723117372539
Cell cycle,28,0.16872740912106782
Cell cycle,29,-0.08406478186784967
Cell cycle,30,0.15231116730993177
Cell cycle,31,-0.0019897024035521135
Cell cycle,32,-0.008627292212966535
Cell cycle,33,0.13701056561173533
Cell cycle,34,-0.16504685429070814
Cell cycle,35,0.08599374944886877
Cell cycle,36,0.22092123114322185
Cell cycle,37,-0.06758775466071926
Cell cycle,38,-0.21602238212459424
Cell cycle,39,-0.0037411982076870744
Cell cycle,40,0.046659108329759766
Cell cycle,41,-0.12841970640572442
Cell cycle,42,0.05922777688035196
Cell cycle,43,-0.0008851485620123344
Cell cycle,44,0.05566451343319238
Cell cycle,45,0.0685811468238618
Cell cycle,46,0.20859327280557288
Cell cycle,47,-0.03409040574928491
Cell cycle,48,0.008219636983790472
Cell cycle,49,-0.05016629227570957
p53 signaling pathway,0,0.05218106981022671
p53 signaling pathway,1,0.10876002778194888
p53 signaling pathway,2,0.02602479021560089
p53 signaling pathway,3,-0.34122631895993377
p53 signaling pathway,4,0.3744463588590941
p53 signaling pathway,5,0.11705338500704664
p53 signaling pathway,6,-0.10485940010734242
p53 signaling pathway,7,0.15203258329771702
p53 signaling pathway,8,-0.08103363637970251
p53 signaling pathway,9,0.01877243062211727
p53 signaling pathway,10,-0.08181047644321203
p53 signaling pathway,11,0.16434173318827125
p53 signaling pathway,12,0.13085084951783157
p53 signaling pathway,13,-0.20795720255238814
