pathway,rep,mean_diff
Cell cycle,0,-0.8101777720427323
Cell cycle,1,-0.17848780386064247
Cell cycle,2,-0.7607111919376793
Cell cycle,3,-0.7239075997005231
Cell cycle,4,-0.5985696478603758
Cell cycle,5,0.394735925302109
Cell cycle,6,-0.38600834884515717
Cell cycle,7,-1.0554129713121432
Cell cycle,8,0.8524770417826009
Cell cycle,9,-1.0606268175208804
Cell cycle,10,-0.6203723217045412
Cell cycle,11,0.5573305141883178
Cell cycle,12,0.10974232752287388
Cell cycle,13,-0.6910009788417268
Cell cycle,14,0.46409239026064686
Cell cycle,15,0.5008227794766404
Cell cycle,16,-0.011830598123893837
Cell cycle,17,-0.14028017017250635
Cell cycle,18,-0.5820764447514633
Cell cycle,19,-0.949234837839029
Cell cycle,20,-1.075675981202568
Cell cycle,21,0.2068687342546503
Cell cycle,22,-0.6006236198552102
Cell cycle,23,-0.5373679731192794
Cell cycle,24,-0.07752181248653814
Cell cycle,25,-0.9075199853622022
Cell cycle,26,0.011176922760933548
Cell cycle,27,-0.11018959331748177
Cell cycle,28,-0.17588647237674476
Cell cycle,29,-0.37007999987347495
Cell cycle,30,0.15105884359629757
Cell cycle,31,-0.800958799324004
Cell cycle,32,-0.5165897745758574
Cell cycle,33,0.9413915322828
Cell cycle,34,0.18237964141081436
Cell cycle,35,-0.29625433959818237
Cell cycle,36,0.5742251620154096
Cell cycle,37,-0.16385528741525815
Cell cycle,38,0.5297220720895365
Cell cycle,39,-0.9595071475836628
Cell cycle,40,0.8071328050287058
Cell cycle,41,-0.8653564836359274
Cell cycle,42,1.0528412691082978
Cell cycle,43,-0.20741197491264893
Cell cycle,44,-0.33877684474475267
Cell cycle,45,-0.6420540040998252
Cell cycle,46,-0.680245590956309
Cell cycle,47,0.14834441862937087
Cell cycle,48,0.13035004327038435
Cell cycle,49,-0.11843056208223222
p53 signaling pathway,0,0.5379406708982711
p53 signaling pathway,1,-0.9556070110622694
p53 signaling pathway,2,-0.8218031340128549
p53 signaling pathway,3,-0.09427372001911141
p53 signaling pathway,4,-0.1345876379217726
p53 signaling pathway,5,-0.8815793661806812
p53 signaling pathway,6,-1.2232563014019242
p53 signaling pathway,7,-0.26714330916345264
p53 signaling pathway,8,0.3027929513591462
p53 signaling pathway,9,0.6790570787350845
p53 signaling pathway,10,-0.7442123857492687
p53 signaling pathway,11,0.3773229693592307
p53 signaling pathway,12,0.5112098945678655
p53 signaling pathway,13,0.17278419620075444
p53 signaling pathway,14,0.2585399575315497
p53 signaling pathway,15,0.36214582727497663
p53 signaling pathway,16,-1.0357395736503028
p53 signaling pathway,17,-1.0337647424405827
p53 signaling pathway,18,-0.4844316319252093
p53 signaling pathway,19,0.12228583296331355
p53 signaling pathway,20,0.8709845798081174
p53 signaling pathway,21,0.610129606204065
p53 signaling pathway,22,-0.233741144362325
p53 signaling pathway,23,-0.2999085473425717
p53 signaling pathway,24,-0.21447972586425146
p53 signaling pathway,25,-0.0711838964199913
p53 signaling pathway,26,0.2659335777087229
p53 signaling pathway,27,0.8209369045545674
p53 signaling pathway,28,0.5404110881611368
p53 signaling pathway,29,-1.3680089582910717
p53 signaling pathway,30,-0.5741245026692361
p53 signaling pathway,31,-0.268897448079227
p53 signaling pathway,32,-0.2310007053808738
p53 signaling pathway,33,0.20339912050181636
p53 signaling pathway,34,-0.5326153455249215
p53 signaling pathway,35,-0.6336070267032641
p53 signaling pathway,36,0.2660801239818547
p53 signaling pathway,37,-0.3040705453704319
p53 signaling pathway,38,0.467583270911078
p53 signaling pathway,39,0.22564257772715865
p53 signaling pathway,40,0.8687856247184738
p53 signaling pathway,41,-0.6851801053839703
p53 signaling pathway,42,0.4524756898272821
p53 signaling pathway,43,-0.1546507247765267
p53 signaling pathway,44,-0.2872873359983556
p53 signaling pathway,45,-0.959883961930313
p53 signaling pathway,46,0.2609165174051222
p53 signaling pathway,47,-0.1617448149019285
p53 signaling pathway,48,-0.3910066609349387
p53 signaling pathway,49,-1.3005153806865954
Cellular senescence,0,-0.2291240708138415
Cellular senescence,1,-0.5754021048124787
Cellular senescence,2,-0.5724847825827666
Cellular senescence,3,0.27943509869735217
Cellular senescence,4,-0.20806086830295878
Cellular senescence,5,0.24609398741568383
Cellular senescence,6,-0.5717193817457089
Cellular senescence,7,-0.009149525410133037
Cellular senescence,8,0.09152803603839531
Cellular senescence,9,1.1184920753469667
Cellular senescence,10,-0.08304252458006975
Cellular senescence,11,-0.03917279829792096
Cellular senescence,12,0.4290022634957034
Cellular senescence,13,0.2742049680885268
Cellular senescence,14,-0.8033617285797847
Cellular senescence,15,0.24399092571078365
Cellular senescence,16,-0.8096963486261475
Cellular senescence,17,-0.12287034584309307
Cellular senescence,18,-0.44557828738315597
Cellular senescence,19,0.16820422503469457
Cellular senescence,20,0.6578567657481411
Cellular senescence,21,-0.7484725171585102
Cellular senescence,22,-1.0010593706990796
Cellular senescence,23,0.0822482241188062
Cellular senescence,24,0.08340602794634004
Cellular senescence,25,-0.7498392586141076
Cellular senescence,26,-0.5316669517318166
Cellular senescence,27,-0.487324244710752
Cellular senescence,28,-0.3492400838429553
Cellular senescence,29,0.14178073366405144
Cellular senescence,30,-0.5476755171367137
Cellular senescence,31,-1.0481898830435732
Cellular senescence,32,0.6033979955487101
Cellular senescence,33,-0.41119086824540557
Cellular senescence,34,0.21602417020082634
Cellular senescence,35,0.6584975462721521
Cellular senescence,36,0.11243048943598546
Cellular senescence,37,-0.1289468979846416
Cellular senescence,38,-0.33563719512493995
Cellular senescence,39,-0.08318676889604959
Cellular senescence,40,-0.5654842954385666
Cellular senescence,41,-0.7953181887838988
Cellular senescence,42,0.513446154866711
Cellular senescence,43,-1.3338382577882073
Cellular senescence,44,-1.0251966079272707
Cellular senescence,45,0.049418414822786645
Cellular senescence,46,-0.8282170350841902
Cellular senescence,47,0.3453199412111105
Cellular senescence,48,-0.6349994659623671
Cellular senescence,49,-0.646798316189238
Apoptosis,0,0.20175789504073283
Apoptosis,1,-0.7997025935260126
Apoptosis,2,0.42008345008650494
Apoptosis,3,-0.8579875874541089
Apoptosis,4,-0.8807796198690603
Apoptosis,5,-0.17541782062598288
Apoptosis,6,-0.439432392530112
Apoptosis,7,0.36507793570862745
Apoptosis,8,-0.27210852477774855
Apoptosis,9,0.1686350228682819
Apoptosis,10,0.07458576262500591
Apoptosis,11,-1.0987921575701924
Apoptosis,12,-0.34524133445275557
Apoptosis,13,0.5876192022102642
Apoptosis,14,-0.6901936109351927
Apoptosis,15,-0.157143885719697
Apoptosis,16,0.13641715984465794
Apoptosis,17,0.23162573006851722
Apoptosis,18,-0.01907237482431652
Apoptosis,19,-0.6773497856388979
Apoptosis,20,-0.6814728134271738
Apoptosis,21,0.1247795586183088
Apoptosis,22,-0.1607791749310165
Apoptosis,23,0.8584846632987894
Apoptosis,24,-0.024224772968375857
Apoptosis,25,-1.1336087278068798
Apoptosis,26,0.749492854967768
Apoptosis,27,0.17348404641410758
Apoptosis,28,0.15362944731760117
Apoptosis,29,-0.6869822718082761
Apoptosis,30,0.842675616753669
Apoptosis,31,-0.6844772661451104
Apoptosis,32,-0.34673112680467244
Apoptosis,33,-0.1648431953935689
Apoptosis,34,0.8066149102952319
Apoptosis,35,-0.9686794166321756
Apoptosis,36,-0.7209508386069823
Apoptosis,37,-0.06621017654035853
Apoptosis,38,0.7582583732451172
Apoptosis,39,-0.9400858695948805
Apoptosis,40,0.4908283749500306
Apoptosis,41,-0.6081964669256643
Apoptosis,42,-0.7602880981288389
Apoptosis,43,-0.8972795621934418
Apoptosis,44,-0.33196174689150604
Apoptosis,45,-0.5122821380228787
Apoptosis,46,-0.4854746079234975
Apoptosis,47,-1.1062793114788831
Apoptosis,48,0.7591054320769991
Apoptosis,49,-0.32876650125166806
Necroptosis,0,-0.7977709915587099
Necroptosis,1,0.27810714530878583
Necroptosis,2,0.39952405668215835
Necroptosis,3,-0.40066297798397627
Necroptosis,4,-0.035897229631217505
Necroptosis,5,-0.5772078759582041
Necroptosis,6,-0.43862527401107665
Necroptosis,7,-0.6747241735157431
Necroptosis,8,0.303741468885677
Necroptosis,9,0.7889467461204127
Necroptosis,10,-0.3358563908434784
Necroptosis,11,0.5202398042074015
Necroptosis,12,-1.116916622320188
Necroptosis,13,0.433098753112514
Necroptosis,14,-0.6229858085726052
Necroptosis,15,-0.00948969695982696
Necroptosis,16,0.25648795699130617
Necroptosis,17,-0.8168622759796195
Necroptosis,18,0.27386666768539947
Necroptosis,19,-0.08069321841724142
Necroptosis,20,-0.6814943830502288
Necroptosis,21,-0.38959788730514244
Necroptosis,22,-0.6384438441723431
Necroptosis,23,-0.04404678735242254
Necroptosis,24,0.656507222598372
Necroptosis,25,-0.9559287568612131
Necroptosis,26,-0.3604116888640226
Necroptosis,27,-1.107427829128156
Necroptosis,28,-0.38091760072964037
Necroptosis,29,-0.30814116265173835
Necroptosis,30,0.15742623676498854
Necroptosis,31,-1.0100211398099423
Necroptosis,32,0.49366385841106547
Necroptosis,33,0.4702660618570362
Necroptosis,34,0.08074563418650463
Necroptosis,35,-0.01622975090083545
Necroptosis,36,0.33990658648881955
Necroptosis,37,-0.6736326967649826
Necroptosis,38,-0.5305610820707776
Necroptosis,39,-0.8187745885987616
Necroptosis,40,-0.13172677029584418
Necroptosis,41,-0.0360043356609263
Necroptosis,42,0.27930987156414017
Necroptosis,43,1.0938010587702773
Necroptosis,44,0.32841274064594483
Necroptosis,45,-0.9737321331774369
Necroptosis,46,-0.6172837922098694
Necroptosis,47,0.45517650189504577
Necroptosis,48,0.41695599502565306
Necroptosis,49,-1.2984337401077706
Ferroptosis,0,-0.26266302411653863
Ferroptosis,1,0.25899597724451157
Ferroptosis,2,-0.25865492617934793
Ferroptosis,3,0.8532113500200773
Ferroptosis,4,-0.42815822510012913
Ferroptosis,5,-0.00847322042035021
Ferroptosis,6,-0.061719445084195024
Ferroptosis,7,0.6658737244603788
Ferroptosis,8,-0.8413965119912887
Ferroptosis,9,-1.0193168174975533
Ferroptosis,10,1.1391448187229976
Ferroptosis,11,0.3380436969324313
Ferroptosis,12,-0.4520020754545667
Ferroptosis,13,-0.8668754492882129
Ferroptosis,14,-0.2070096962506837
Ferroptosis,15,0.14463700724583614
Ferroptosis,16,0.45829107672333386
Ferroptosis,17,-0.6458583994868867
Ferroptosis,18,0.012104128047921887
Ferroptosis,19,0.12005125118716609
Ferroptosis,20,1.0437981643443055
Ferroptosis,21,0.9581679689123769
Ferroptosis,22,-0.2591376176777659
Ferroptosis,23,0.8046592327576922
Ferroptosis,24,0.7386352904766839
Ferroptosis,25,-1.1297329188228271
Ferroptosis,26,0.5697901085169184
Ferroptosis,27,0.7211742254758777
Ferroptosis,28,-0.25284773376964653
Ferroptosis,29,-0.08692269183111184
