pathway,rep,mean_diff,P
Cell cycle,0,-0.09619526781776956,0.759022452142371
Cell cycle,1,0.092612478332861,0.6020742536895516
Cell cycle,2,-0.09392036329575047,0.522198021819551
Cell cycle,3,0.06443361854207877,0.7432220656374495
Cell cycle,4,-0.162155270334568,0.32888566671710184
Cell cycle,5,-0.22274720099318165,0.08038113699127244
Cell cycle,6,0.10058751062271372,0.3981082214948285
Cell cycle,7,0.23075275426844416,0.0672236207497086
Cell cycle,8,-0.030127860181145598,0.6717818635319416
Cell cycle,9,-0.13747487147918422,0.4975139208046082
Cell cycle,10,-0.08443779404430526,0.37959395921768635
Cell cycle,11,-0.1285107476392613,0.32967983760134745
Cell cycle,12,-0.13071275235274393,0.16269646453287656
Cell cycle,13,-0.08816326092344662,0.31019803745012553
Cell cycle,14,-0.11085067587164099,0.44527999899987325
Cell cycle,15,0.35451064816421757,0.044305259325275695
Cell cycle,16,-0.09513960154213069,0.6223053744791605
Cell cycle,17,-0.0947379747504366,0.5485640308184627
Cell cycle,18,0.1460670996170943,0.3909919056163492
Cell cycle,19,-0.11692428730049859,0.6953052513738185
Cell cycle,20,-0.35725123334687153,0.01237124317329636
Cell cycle,21,0.0061493028387606345,0.9674166200896791
Cell cycle,22,-0.043070528405975236,0.7626833019068724
Cell cycle,23,-0.27276572868089677,0.17765750148346138
Cell cycle,24,-0.2772967733910389,0.03766597648386438
Cell cycle,25,0.1581545927425257,0.15142803527256174
Cell cycle,26,-0.12882303573263304,0.300374166044278
Cell cycle,27,0.36779742719063235,0.0048000743777295764
Cell cycle,28,-0.4246518475002627,0.0009810037897960515
Cell cycle,29,-0.2480094804259425,0.047260424744811555
Cell cycle,30,-0.06719668148601411,0.7749240957147896
Cell cycle,31,-0.14162034316429764,0.4125729420921407
Cell cycle,32,-0.019697079827969963,0.9418963092407278
Cell cycle,33,0.011263058634723874,0.8771494453172062
Cell cycle,34,-0.07804843057075585,0.3352737766645639
Cell cycle,35,0.3272348294886358,0.024153374446140734
Cell cycle,36,0.3049681407054318,0.03870985758255417
Cell cycle,37,-0.013214605004019858,0.96486265346458
Cell cycle,38,0.035436282301077204,0.6382414194433408
Cell cycle,39,0.03514135304201544,0.7541497213237057
Cell cycle,40,0.3641984864145028,0.009523060435988337
Cell cycle,41,0.1223308434226787,0.3417412553431025
Cell cycle,42,-0.18620647953623626,0.1781732818331011
Cell cycle,43,-0.1293332086382643,0.19527197732639467
Cell cycle,44,0.16758559975859985,0.35993524138686595
Cell cycle,45,-0.11692910232476539,0.4894261381941155
Cell cycle,46,-0.2493540527767863,0.085497061637213
Cell cycle,47,0.06488047392701676,0.6497280933131868
Cell cycle,48,-0.18854453532607732,0.3320697960865894
Cell cycle,49,0.15230620750763954,0.1839206006574492
p53 signaling pathway,0,0.009536489517244676,0.8394156924542152
p53 signaling pathway,1,-0.09337276533257459,0.4348445467300197
p53 signaling pathway,2,0.1576417048179893,0.3954305054713324
p53 signaling pathway,3,-0.014917283550575564,0.9444460914677102
p53 signaling pathway,4,0.08261371555910936,0.9418963092407278
p53 signaling pathway,5,0.36376534582083697,0.0050451925615329985
p53 signaling pathway,6,0.018686015961588934,0.9062736799160054
p53 signaling pathway,7,-0.12591474975314365,0.41807652440964393
p53 signaling pathway,8,-0.20693340147182143,0.19749118016291267
p53 signaling pathway,9,0.03169932129368765,0.807005875480009
p53 signaling pathway,10,0.24266181267610293,0.11775655376974531
p53 signaling pathway,11,-0.13759806601462726,0.38922497118467514
p53 signaling pathway,12,-0.2944967019055052,0.03593217617285745
p53 signaling pathway,13,0.016190337981968277,0.9968046711264704
p53 signaling pathway,14,-0.09526039262729204,0.426412468832678
p53 signaling pathway,15,0.1311905565808582,0.3148028899150648
p53 signaling pathway,16,0.10650152935014363,0.6929392080416679
p53 signaling pathway,17,0.29110731484545804,0.01930534857823213
p53 signaling pathway,18,0.2172197504480305,0.05113812404179058
p53 signaling pathway,19,-0.36115117569827365,0.004945818565861114
p53 signaling pathway,20,-0.16151371343872,0.24974520677165313
p53 signaling pathway,21,0.1994269411263151,0.057136945049710064
p53 signaling pathway,22,0.12686704241093197,0.46559341763175366
p53 signaling pathway,23,-0.05220796028017842,0.737173264367279
p53 signaling pathway,24,0.15669006641416494,0.32493343115871187
p53 signaling pathway,25,0.3630286366097555,0.006703540948158584
p53 signaling pathway,26,-0.279988926791683,0.043134571742666536
p53 signaling pathway,27,0.11338645353435126,0.5998447636114543
p53 signaling pathway,28,0.04768148834127169,0.9865802156316699
p53 signaling pathway,29,0.04753997696084235,0.8607586180017716
p53 signaling pathway,30,0.0822625812107805,0.4089278615454728
p53 signaling pathway,31,-0.13399865946023973,0.3515910872898206
p53 signaling pathway,32,-0.3326997638167192,0.04231446374887198
p53 signaling pathway,33,0.07331507343823541,0.32179398978840346
p53 signaling pathway,34,0.006702153094199639,0.8169456359377487
p53 signaling pathway,35,0.007911646231840576,0.8494457181369557
p53 signaling pathway,36,-0.09967311067710063,0.5976190176972691
p53 signaling pathway,37,-0.08761982312424588,0.9610323875064
p53 signaling pathway,38,-0.15375868033262804,0.28494742304755294
p53 signaling pathway,39,-0.18350880076058493,0.1356534957111976
p53 signaling pathway,40,-0.1648935765413754,0.27567081612529465
p53 signaling pathway,41,0.20648006053140958,0.08845106210946356
p53 signaling pathway,42,-0.10499137067623752,0.5305637595648998
p53 signaling pathway,43,0.1214160050133279,0.2827881500239169
p53 signaling pathway,44,-0.07440272441848422,0.8657959038818899
p53 signaling pathway,45,-0.010052658133149907,0.8356610545657042
p53 signaling pathway,46,-0.30572235975573364,0.0496305925099037
p53 signaling pathway,47,-0.07396881126257579,0.5201172321458567
p53 signaling pathway,48,0.030822652043809767,0.8244199192992413
p53 signaling pathway,49,-0.40147052838469177,0.0030177269008248137
Cellular senescence,0,-0.3670664207197841,0.005327846619912228
Cellular senescence,1,-0.08490796744043591,0.5253272098261426
Cellular senescence,2,-0.06888060046875567,0.6121528448864231
Cellular senescence,3,0.05142733376276145,0.6976742655304919
Cellular senescence,4,0.3270204334208439,0.11663265958437878
Cellular senescence,5,-0.16412506512384312,0.2770844158050103
Cellular senescence,6,0.010808174523468536,0.7335517554753703
Cellular senescence,7,0.05279060459207352,0.8256672021508564
Cellular senescence,8,0.13621839342304237,0.15097175606661978
Cellular senescence,9,0.3140033316797661,0.030389669023904928
Cellular senescence,10,-0.03343660876384259,0.6941218570695196
Cellular senescence,11,0.0615126621080829,0.5149340242126884
Cellular senescence,12,-0.12699211875213223,0.2464651550907786
Cellular senescence,13,-0.09307915410381651,0.5453657249037566
Cellular senescence,14,0.027022636559461747,0.6682802284392713
Cellular senescence,15,-0.1806912184627598,0.20255175764425282
Cellular senescence,16,-0.015361932786639278,0.7239235383028559
Cellular senescence,17,-0.020232218213424163,0.7059889118914777
Cellular senescence,18,0.07763539751712864,0.926611028101784
Cellular senescence,19,-0.16436868011977157,0.1986076783092876
Cellular senescence,20,-0.03522779007735442,0.879675975749265
Cellular senescence,21,0.22635581831429852,0.10076601506598233
Cellular senescence,22,0.29262389128772825,0.047260424744811555
Cellular senescence,23,0.283331634923359,0.050947610506863084
Cellular senescence,24,-0.2202402115051878,0.1162599062374869
Cellular senescence,25,-0.1288519969943424,0.41623721043741213
Cellular senescence,26,-0.14038828685062826,0.2570683433202675
Cellular senescence,27,0.08319246544927558,0.795860857923634
Cellular senescence,28,-0.011090311828576697,0.9444460914677102
Cellular senescence,29,0.025439726764535306,0.5998447636114543
Cellular senescence,30,-0.07038842979397215,0.5987314215989427
Cellular senescence,31,-0.28982844654638085,0.06533028544158204
Cellular senescence,32,0.11649871817101434,0.2700656724683186
Cellular senescence,33,0.3408190214912562,0.007594752379586334
Cellular senescence,34,-0.10190178298075829,0.4894261381941155
Cellular senescence,35,0.0002329003203570165,0.819435250397095
Cellular senescence,36,0.3087628555729471,0.03916470383745516
Cellular senescence,37,0.39197474493405493,0.005965543980999842
Cellular senescence,38,-0.216839573298829,0.30943490782021066
Cellular senescence,39,0.1129506397301214,0.5998447636114543
Cellular senescence,40,0.10146731770653519,0.3549139350551124
Cellular senescence,41,-0.03373185404201385,0.9278838459548828
Cellular senescence,42,-0.14190948173341403,0.2638539051516885
Cellular senescence,43,-0.37387116940339277,0.019388296255946357
Cellular senescence,44,0.1161433285938319,0.2966515804612888
Cellular senescence,45,-0.10996922818306702,0.5358266792473341
Cellular senescence,46,-0.04653955842534427,0.9164355175230398
Cellular senescence,47,0.08746551848730191,0.7749240957147896
Cellular senescence,48,0.12162742460630142,0.37959395921768635
Cellular senescence,49,0.0036614540344862157,0.9253383980399034
Apoptosis,0,-0.14273413125917261,0.3684026636444435
Apoptosis,1,0.27992470232421046,0.04134778237911325
Apoptosis,2,-0.23261628910622867,0.050947610506863084
Apoptosis,3,0.07757602539096659,0.7347582710310621
