"drug","n_assays","high_median_IC50","low_median_IC50","high_low_diff","wilcox_P","spearman_rho","spearman_P","n_high","n_low","wilcox_q","spearman_q"
"MK-1775",1,2.12119949075338,2.39530636283541,-0.274106872082025,0.0060872370113327,-0.103916186365745,0.00065915200403631,536,535,0.0536079674854761,0.00584768249792734
"Paclitaxel",1,0.0561549112510873,0.0637239727604458,-0.00756906150935849,0.00630681970417365,-0.10356124037005,0.000687962646814982,536,535,0.0536079674854761,0.00584768249792734
"Gefitinib",1,27.8442288021145,29.2952638127008,-1.4510350105863,0.0177585519535342,-0.0824312721322313,0.00695269985028433,536,535,0.0619995572905518,0.0236391794909667
"Gemcitabine",1,0.529026346554462,0.633210564453823,-0.104184217899361,0.0179972400064741,-0.0722243354030132,0.0180812015949171,536,535,0.0619995572905518,0.0333938518197457
"5-Fluorouracil",1,131.741176927792,150.887439233809,-19.1462623060175,0.0192638601857108,-0.0853404285413426,0.00519477689581497,536,535,0.0619995572905518,0.0236391794909667
"Palbociclib",1,36.3034862133825,38.936979042028,-2.6334928286455,0.0244054486917722,-0.0734764292102669,0.0161705584734612,536,535,0.0619995572905518,0.0333938518197457
"Docetaxel",2,0.0698637526960443,0.0815081830187831,-0.0116444303227388,0.0255292294725802,-0.0839718493060497,0.00596457091509612,536,535,0.0619995572905518,0.0236391794909667
"Cisplatin",1,28.9211678469718,33.1976381713539,-4.2764703243821,0.0334034020612602,-0.074593097107723,0.0146184722617658,536,535,0.0709822293801778,0.0333938518197457
"AZD7762",1,1.22346642251245,1.31546105871693,-0.0919946362044799,0.0469748628635891,-0.0747958647819569,0.0143511615628785,536,535,0.0887302965201127,0.0333938518197457
"AZD6738",1,8.19485374605422,8.74050769226993,-0.545653946215705,0.0681340241130319,-0.071073557055686,0.0200084714628011,536,535,0.115827840992154,0.0333938518197457
"Talazoparib",1,23.2017149081049,26.3751107775784,-3.17339586947345,0.0828085747979186,-0.059917056514334,0.0499577743989161,536,535,0.117361765968881,0.0707735137317978
"Niraparib",1,79.5951826094029,86.5325797373162,-6.93739712791334,0.0828435995074453,-0.0701898111734581,0.0216077864716001,536,535,0.117361765968881,0.0333938518197457
"Olaparib",1,68.5016846292784,71.7382060466791,-3.2365214174007,0.185288077964047,-0.0540719496056199,0.0769283152390642,536,535,0.242299794260677,0.0934129542188637
"Ribociclib",1,45.4981115279251,46.6543477319826,-1.15623620405749,0.209729157820355,-0.0548624192318858,0.0727030857174096,536,535,0.254671120210431,0.0934129542188637
"Trametinib",1,2.1085843135892,2.24122003734677,-0.132635723757565,0.29818389729835,-0.0363094310119082,0.235120634265526,536,535,0.337941750271463,0.251492510294136
"Erlotinib",1,15.355176524445,15.6075745037616,-0.25239797931655,0.340686486461656,-0.0350704167843731,0.251492510294136,536,535,0.344908309193437,0.251492510294136
"Selumetinib",1,65.3001794283898,68.4136062095814,-3.11342678119161,0.344908309193437,-0.0357492752994628,0.242426556381061,536,535,0.344908309193437,0.251492510294136
