"feature","high_median","low_median","high_low_diff","wilcox_P","spearman_mag_rho","spearman_mag_P","spearman_risk_rho","spearman_risk_P","n_high","n_low","wilcox_q","spearman_mag_q"
"Monocytic lineage",3.40202708057956,3.40000778904917,0.00201929153038582,0.273921434828773,0.0528227081040255,0.0840113853617662,0.0461018261398575,0.131612246965955,536,535,0.979745082449978,0.865468218012021
"Fibroblasts",7.33840647634606,7.47192311915764,-0.133516642811586,0.347234338582634,-0.0271752933283789,0.374289117317332,-0.283256829025375,3.28151450274883e-21,536,535,0.979745082449978,0.865468218012021
"ssGSEA_TGF_BETA_SIGNALING",1.86742479491279,1.86734902842155,7.57664912403033e-05,0.401576815864049,-0.023550833361661,0.44133872205432,-0.235834834701073,5.30320676623511e-15,536,535,0.979745082449978,0.865468218012021
"Neutrophils",1.84617819552442,1.81357263830334,0.0326055572210784,0.503059587888776,0.029692570290775,0.331646681231918,-0.102190981009505,0.000810505485139374,536,535,0.979745082449978,0.865468218012021
"NK cells",0.330561749839047,0.323357321788564,0.00720442805048277,0.563391939208866,0.0509092798787809,0.0958731965056735,-0.0484043303470084,0.113383880303282,536,535,0.979745082449978,0.865468218012021
"ssGSEA_INTERFERON_ALPHA_RESPONSE",1.82598117743405,1.82875512839796,-0.00277395096390909,0.674668112199388,0.00996959950112002,0.74450488065357,-0.0289703606369316,0.343547251308214,536,535,0.979745082449978,0.865468218012021
"ssGSEA_IL2_STAT5_SIGNALING",1.62063719478358,1.62134492252536,-0.000707727741780406,0.677123777142801,-0.00696430476221734,0.819917259169283,-0.172950071366251,1.22395091341507e-08,536,535,0.979745082449978,0.865468218012021
"Cytotoxic lymphocytes",1.24612523159482,1.23334218997525,0.0127830416195736,0.730935905646304,0.0371061522670165,0.224999553405287,-0.0726526696604154,0.0174064590292898,536,535,0.979745082449978,0.865468218012021
"ssGSEA_INTERFERON_GAMMA_RESPONSE",1.71915520291974,1.72307655650032,-0.0039213535805831,0.768536858518001,0.0165036163719219,0.589538010222476,-0.0574653728139324,0.0601111882939909,536,535,0.979745082449978,0.865468218012021
"ssGSEA_INFLAMMATORY_RESPONSE",1.47487391080259,1.4785334091897,-0.00365949838710455,0.816036607879297,0.018276607616125,0.550190832968897,-0.0810259450411494,0.00797958071781096,536,535,0.979745082449978,0.865468218012021
"Endothelial cells",3.10797463402144,3.09584225881116,0.012132375210284,0.841908514846024,0.00849351178607864,0.781288537556342,-0.26159455412797,3.23311473588223e-18,536,535,0.979745082449978,0.865468218012021
"ssGSEA_COMPLEMENT",1.57659859088803,1.57850251795869,-0.00190392707066733,0.850262299177349,0.0163860857496856,0.592191463333754,-0.0927338783190777,0.00238291844964902,536,535,0.979745082449978,0.865468218012021
"ssGSEA_TNFA_SIGNALING_VIA_NFKB",1.74389717358269,1.74098711698292,0.00291005659976262,0.863134892963347,0.00137206647200657,0.964226854787952,-0.111231080519807,0.000265076692459106,536,535,0.979745082449978,0.964226854787952
"T cells",1.63394216882871,1.63673610543626,-0.00279393660755045,0.916053070715615,0.0188308731220205,0.538160757642908,-0.103070829391877,0.000729694842069683,536,535,0.979745082449978,0.865468218012021
"B lineage",2.429345062292,2.37683495129952,0.0525101109924808,0.923267820380714,0.0155010113963287,0.612346899040742,-0.106425023629203,0.000485330458182921,536,535,0.979745082449978,0.865468218012021
"ssGSEA_ALLOGRAFT_REJECTION",1.51536692775446,1.51673222466153,-0.00136529690706944,0.935201403137522,0.0135935612911645,0.656778153316532,-0.0914192975279106,0.00274823618043753,536,535,0.979745082449978,0.865468218012021
"CD8 T cells",1.18170685774817,1.16085566549316,0.0208511922550147,0.937715680823404,0.0315234393282887,0.302685364171494,-0.102472723959009,0.000783767663392987,536,535,0.979745082449978,0.865468218012021
"ssGSEA_IL6_JAK_STAT3_SIGNALING",1.55021475287027,1.5592977367652,-0.00908298389492423,0.949351917497203,0.0124013561345866,0.68519076755515,-0.0803193351549017,0.00854548281409281,536,535,0.979745082449978,0.865468218012021
"Myeloid dendritic cells",1.73153324353207,1.72544326310995,0.00608998042211306,0.979745082449978,0.0203929891108347,0.504980565912315,-0.100521376077283,0.000987087156174193,536,535,0.979745082449978,0.865468218012021
