"drug","n_assays","high_median_IC50","low_median_IC50","high_low_diff","wilcox_P","spearman_rho","spearman_P","n_high","n_low","wilcox_q","spearman_q"
"Ribociclib",1,45.8273158376125,44.0464048947933,1.7809109428192,0.0627268670587526,0.126695648832137,0.00438933446189759,252,252,0.321798264608659,0.0746186858522591
"Niraparib",1,83.3337869639996,76.4517148787822,6.88207208521736,0.0642093347994988,0.0988061259974336,0.0265470375621525,252,252,0.321798264608659,0.225649819278296
"MK-1775",1,2.02212972298392,2.40733925583522,-0.385209532851305,0.0651839045936275,-0.0736176060093939,0.0987695923204125,252,252,0.321798264608659,0.375908449932491
"Erlotinib",1,14.4012121113024,15.2357385537656,-0.834526442463151,0.0757172387314493,-0.0443921103271929,0.319922951730927,252,252,0.321798264608659,0.578662954032342
"Gefitinib",1,25.5540998230477,27.2888180456375,-1.73471822258985,0.140012000409417,-0.031845700900678,0.475635405785486,252,252,0.457191718494909,0.673816824862771
"Olaparib",1,71.4175081869392,65.3802062566461,6.03730193029305,0.161361782998203,0.0781065610111139,0.0798063035554216,252,252,0.457191718494909,0.375908449932491
"Talazoparib",1,23.7403471363684,22.3672980015497,1.3730491348187,0.235944354569455,0.0666222373444388,0.135277172598405,252,252,0.573007718240105,0.383285322362148
"Selumetinib",1,64.1413669639613,60.8071244260568,3.33424253790454,0.304825258701848,0.0711635889519085,0.110561308803674,252,252,0.6130338282443,0.375908449932491
"AZD6738",1,8.38322808334148,8.42466731326083,-0.0414392299193533,0.324547320835218,-0.0511142480337213,0.252038696737635,252,252,0.6130338282443,0.578662954032342
"Docetaxel",2,0.0721179820926089,0.0739293727117988,-0.00181139061918992,0.396363572935173,-0.0248280238418616,0.578149679750318,252,252,0.631248589240186,0.697683677244461
"Paclitaxel",1,0.0587727367181918,0.0618503391439594,-0.00307760242576756,0.442487300250136,-0.0271963691683,0.54242260185023,252,252,0.631248589240186,0.697683677244461
"AZD7762",1,1.19691078715342,1.22100284558689,-0.0240920584334752,0.466841913601184,-0.0224177799773729,0.615603244627466,252,252,0.631248589240186,0.697683677244461
"Gemcitabine",1,0.534340947638892,0.483281590655362,0.051059356983529,0.482719509418966,0.0342112342446968,0.443463544507569,252,252,0.631248589240186,0.673816824862771
"Cisplatin",1,30.336817778797,29.1566365670201,1.18018121177695,0.659404239485618,0.00383685627864121,0.93152711270276,252,252,0.770555264262475,0.93152711270276
"5-Fluorouracil",1,126.394344372218,112.796392667107,13.597951705112,0.679901703761008,0.0146904522886256,0.742156671242959,252,252,0.770555264262475,0.788541463195644
"Trametinib",1,2.0729916510267,1.95804707612433,0.11494457490237,0.78851912699567,0.0455622699446883,0.307320366174742,252,252,0.837801572432899,0.578662954032342
"Palbociclib",1,32.989341049318,33.7519567480899,-0.762615698771853,0.961213514520566,0.0425540111523223,0.340389972960201,252,252,0.961213514520566,0.578662954032342
