"feature","high_median","low_median","high_low_diff","wilcox_P","spearman_mag_rho","spearman_mag_P","spearman_risk_rho","spearman_risk_P","n_high","n_low","wilcox_q","spearman_mag_q"
"ssGSEA_IL2_STAT5_SIGNALING",2.17099497778415,2.185216849417,-0.0142218716328513,0.0161214359357288,-0.116738606550232,0.00870972689280267,-0.148421118737832,0.000830866365939118,252,252,0.168957598581904,0.0413712027408127
"B lineage",3.52542719848667,3.88990540366628,-0.36447820517961,0.0177850103770425,-0.130379252068916,0.00336499645610059,-0.221695100495565,4.97234280515622e-07,252,252,0.168957598581904,0.0413712027408127
"ssGSEA_COMPLEMENT",2.13540661572896,2.15202059245507,-0.0166139767261138,0.0462339048174988,-0.0963623258094057,0.0305417145719076,-0.0800610762581512,0.0725283386837692,252,252,0.23881817909375,0.0828989395523207
"Fibroblasts",6.28093993375923,6.45820204908907,-0.177262115329835,0.0670783244283089,-0.107680367582342,0.0155867288245132,0.00198113534727514,0.964612673226992,252,252,0.23881817909375,0.0498446976117821
"ssGSEA_ALLOGRAFT_REJECTION",2.08067895063238,2.1152410551975,-0.0345621045651163,0.0808961830365203,-0.0801967075435178,0.072044081298802,-0.0944184960955624,0.0340766995161568,252,252,0.23881817909375,0.12443977678884
"ssGSEA_IL6_JAK_STAT3_SIGNALING",2.16208579732076,2.1713469432722,-0.00926114595143979,0.090473970705182,-0.0911415055166409,0.040825318234573,-0.0909231082153941,0.0413126659004467,252,252,0.23881817909375,0.08466769370997
"Myeloid dendritic cells",2.71673650032468,2.96574014204241,-0.249003641717729,0.0935427983839329,-0.107522240437619,0.0157404308247733,-0.158158451460028,0.000364842237615579,252,252,0.23881817909375,0.0498446976117821
"Endothelial cells",3.12998614270459,3.25579677136158,-0.12581062865699,0.116711795930629,-0.124353923605936,0.00517929404035368,-0.0160969121621052,0.718472622310016,252,252,0.23881817909375,0.0413712027408127
"T cells",2.27850622742555,2.34281057924961,-0.0643043518240578,0.126728727914624,-0.0895201164535653,0.044561944057879,-0.0205475304701728,0.64537689113536,252,252,0.23881817909375,0.08466769370997
"ssGSEA_TGF_BETA_SIGNALING",2.45468502442517,2.46227627432203,-0.00759124989685533,0.13870252822622,-0.11978135899361,0.00710022700859721,-0.0430870692863095,0.334370107189614,252,252,0.23881817909375,0.0413712027408127
"ssGSEA_INFLAMMATORY_RESPONSE",2.06492773518034,2.07846676261249,-0.0135390274321536,0.141000330971182,-0.0752867987736007,0.0913374300922919,-0.0773597922132458,0.0827387607287133,252,252,0.23881817909375,0.144617597646129
"ssGSEA_INTERFERON_GAMMA_RESPONSE",2.32416088448974,2.34507822914275,-0.0209173446530091,0.150832534164474,-0.0484289922886069,0.277848397354173,-0.00441959276870601,0.921159125505845,252,252,0.23881817909375,0.351941303315286
"Monocytic lineage",3.86795984937519,3.94783770284101,-0.0798778534658204,0.200115317020187,-0.0639773804134177,0.151517506071927,0.106473464727899,0.0167939117199419,252,252,0.292476232567966,0.205630901097615
"ssGSEA_TNFA_SIGNALING_VIA_NFKB",2.36352778116736,2.37463188432577,-0.0111041031584089,0.218070617390674,-0.0672490282257422,0.131632497922515,-0.044630472703618,0.317328844497138,252,252,0.295952980744487,0.192385958502138
"ssGSEA_INTERFERON_ALPHA_RESPONSE",2.42403641974404,2.43569463312986,-0.0116582133858198,0.320955258108027,-0.0174044839871661,0.696692546800267,0.0737292417114475,0.0982579566751594,252,252,0.406543326936835,0.720488364993008
"NK cells",0.432259585781491,0.472949151966777,-0.0406895661852862,0.357727738201555,-0.0229034093412181,0.607971710729688,0.128106045481004,0.00396779826330532,252,252,0.406639588393246,0.720488364993008
"Neutrophils",2.50748894630512,2.56286743054587,-0.0553784842407574,0.363835421193957,-0.0900274918147878,0.0433628983469028,0.0392583677566848,0.379130844482869,252,252,0.406639588393246,0.08466769370997
"CD8 T cells",1.33120687617594,1.38515484507665,-0.053947968900705,0.73446488772173,-0.0159766065553076,0.720488364993008,0.0920793975440005,0.0387873014282905,252,252,0.77526849259516,0.720488364993008
"Cytotoxic lymphocytes",1.47379433605483,1.52249566670582,-0.0487013306509889,0.859918546642444,-0.0181386925968939,0.684569972695185,0.0681227111634765,0.126679377865339,252,252,0.859918546642444,0.720488364993008
