dataset,cox_nnet,deepsurv,elastic_net,lasso_cox,path_agnn_cox,path_agnn_cox_noreg,path_agnn_cox_static,plain_gnn,ridge_cox,rsf
BLCA,0.6067507530514048,0.6093109683364492,0.6081072323191268,0.6099022719565644,0.5610086661986271,0.5519454713605914,0.5284760683736207,0.5672424158051197,0.6342999617403928,0.6113171803814447
BRCA,0.7034065467564458,0.6731397573263959,0.628844916640352,0.6184700889012306,0.5785725162006818,0.5757165061543146,0.5600737311823942,0.6056942089864997,0.6925378440153063,0.5946107282542851
COAD,0.5606850197143123,0.5889733061635173,0.5387080855386825,0.5277907516895297,0.5992702684431215,0.5879498441349378,0.5874159551725946,0.6070211468913869,0.5857199581442247,0.5497816517187021
GBM,0.5755819817463493,0.5647850717431436,0.5024110806066151,0.5007172233218938,0.5797382070925883,0.5790312791535592,0.5543917510756244,0.5450724260630703,0.5981359936993238,0.5318153564176429
HNSC,0.6113835443483697,0.6041592371269813,0.6089250411635343,0.6013398868675017,0.5406025976864585,0.5197408215742156,0.5257682547147677,0.5242759100336583,0.6281919199142185,0.5987530641387451
KIRC,0.6945659500413539,0.7208503100991346,0.7108624738394415,0.7055853483374979,0.628519467664508,0.6331819725311945,0.623390396941535,0.6281755232102832,0.7084348625701691,0.6901052155476297
LIHC,0.6683805060413034,0.6728575814279398,0.6516715349136771,0.6437479467167159,0.6137862351028026,0.6221722844813657,0.6214088333769856,0.6269402485149609,0.6787445697366252,0.6311494036829753
LUAD,0.6371703934398343,0.6220749829927793,0.65172154942482,0.6509121706886012,0.4898153313222703,0.5337694648319972,0.5314553290813675,0.5017507145980904,0.6297748832174699,0.5952632498664688
LUSC,0.5083629629094578,0.49731957882389477,0.5261314472667792,0.5273472791056919,0.5198022140658504,0.5263093973959541,0.49984967036910677,0.49862161071255384,0.5066400803010119,0.525788950749999
OV,0.5957358078972911,0.5969388940433016,0.5224616269965052,0.521622958410593,0.5378908629805569,0.5213969238222809,0.5550212156125143,0.5248727932562163,0.578385299300336,0.5608783944561498
STAD,0.5352955707347129,0.5403642294692176,0.5804859290492596,0.5290407128795731,0.5294538404747033,0.5378040215004938,0.504042293709852,0.5084642880775254,0.5573756021584684,0.5243448174858758
