pathway,k,n_edges,mean_abs_d,topdec_mean_abs_d,concentration,max_abs_d,null_median_mean_abs_d,pct_mean,null_median_topdec,pct_topdec,null_median_conc,pct_conc,null_median_max,pct_max
p53 signaling pathway,50,2450,0.00013069934914912277,0.00036895826306873185,0.2822954096334215,0.0005063228309154,6.745821986422218e-05,93.0,0.00017499089887246713,100.0,0.26346181210974357,82.0,0.0002725254744291,100.0
ErbB signaling pathway,11,110,0.0003631599247455189,0.0011163679036226546,0.30740393626993384,0.0013900324702262,0.00012136862020598377,97.0,0.0002837595106525273,100.0,0.24006711867660607,93.0,0.00032875221222634996,100.0
Wnt signaling pathway,66,4290,0.00010922100733624742,0.00027766932965640046,0.2542270360147555,0.000411195680499,6.260354981467987e-05,100.0,0.00016273435483093286,100.0,0.25818872507052115,41.5,0.0002707596868276,100.0
Small cell lung cancer,23,506,0.00035480046166257455,0.0008566909122700354,0.2433658536970173,0.0010142028331756,0.00010735430228319366,98.0,0.0002631686408729569,100.0,0.24816172407533368,47.0,0.00036535225808615,98.0
Mitophagy,34,1122,0.0001544980448462899,0.00045825610250492657,0.2987245088796187,0.0007420387119054,7.490409494985402e-05,88.5,0.0001884842357408168,100.0,0.2531477850673807,91.5,0.0002907924354076,100.0
Base excision repair,16,240,0.00041137429264680506,0.0011176570939520584,0.2716886091157983,0.0014977306127548,0.00011671878940733993,100.0,0.0002928274916484396,100.0,0.24406054143475436,76.5,0.0003687664866447,100.0
Breast cancer,4,12,0.0012448107202847252,0.00245889276266095,0.329219096337598,0.0025004148483276,0.00013073316464817672,98.0,0.000279103871434875,100.0,0.329219096337598,51.5,0.00029180385172365,100.0
Mismatch repair,3,6,0.00222527484099065,0.0039429664611816,0.29531681424620987,0.0039429664611816,0.0001541057912011706,100.0,0.00027318764477964996,100.0,0.3002764530795178,47.5,0.00027318764477964996,100.0
Cell cycle,124,15252,8.169491964625414e-05,0.0002013249640129144,0.24656436915773924,0.0003891214728355,2.9396562187483165e-05,100.0,7.482502837744597e-05,100.0,0.24656436915773924,57.49999999999999,0.000120170880109,100.0
MAPK signaling pathway,212,44732,2.8288241430516022e-05,7.14720279905915e-05,0.25270149941971515,0.000120170880109,2.8288241430516022e-05,100.0,7.14720279905915e-05,100.0,0.25270149941971515,100.0,0.000120170880109,100.0
