pathway,n_genes,n_edges,mean_hi,mean_lo,d,cohen_d,d_ci_lo,d_ci_hi,mw_p,perm_p,perm_q,n_null_sets,null_median_abs_d,null_p95,null_pct,n_null_block_sets,block_null_median_abs_d,block_null_p95,block_null_pct
Cell cycle,124,15252,0.0080657871440052,0.0080653093755245,4.777684807777405e-07,0.7605382761564135,0.6373612329445633,0.8837153193682636,3.12155377397179e-33,0.0009990009990009,0.0013933434986066,0,,,,200,0.43734526881667396,0.7605382761564135,0.4975124378109453
p53 signaling pathway,50,2450,0.0200074203312397,0.0200058575719594,1.562759280204773e-06,0.4232670418220539,0.302990653155746,0.5435434304883618,1.6174655240012412e-12,0.0009990009990009,0.0013933434986066,200,0.1289094261623016,0.3149913697835801,0.0149253731343283,200,0.12867396323633015,0.42326704182205394,0.06467661691542288
Cellular senescence,111,12210,0.0090106287971138,0.0090101119130849,5.168840289115906e-07,0.722319000360725,0.5995495189171107,0.8450884818043394,1.1913601773524544e-32,0.0009990009990009,0.0013933434986066,0,,,,200,0.16926005984157627,0.722319000360725,0.13930348258706468
Apoptosis,97,9312,0.0103112980723381,0.0103107877075672,5.103647708892822e-07,0.5414488513106468,0.4203370781256046,0.662560624495689,1.247596726193826e-18,0.0009990009990009,0.0013933434986066,200,0.135444447312708,0.3673812348139226,0.0049751243781094,200,0.15545369821864158,0.5414488513106468,0.11940298507462686
Necroptosis,122,14762,0.0081979511305689,0.0081977043300867,2.468004822731018e-07,0.4787644579740163,0.3581205557116175,0.5994083602364151,7.103843344106453e-13,0.0009990009990009,0.0013933434986066,0,,,,200,0.24737691479719648,0.4787644579740163,0.3333333333333333
Ferroptosis,33,1056,0.0303209386765956,0.0303159691393375,4.969537258148193e-06,0.5852946276217394,0.4638226546589746,0.7067666005845044,3.3308836130583878e-21,0.0009990009990009,0.0013933434986066,200,0.1416897522489074,0.3715106663900175,0.0049751243781094,200,0.14873809177165973,0.4013071686161417,0.03482587064676617
Autophagy,90,8010,0.0111134303733706,0.0111127374693751,6.92903995513916e-07,0.6317598305261867,0.5098768498425256,0.7536428112098478,3.7790594710306717e-26,0.0009990009990009,0.0013933434986066,200,0.134472168187104,0.3665626098842495,0.0049751243781094,200,0.19496264420427922,0.5896024942922954,0.05472636815920398
Mitophagy,34,1122,0.0294272247701883,0.0294232442975044,3.980472683906555e-06,0.5027992327722198,0.3819825222227216,0.6236159433217181,1.2769303123280092e-16,0.0009990009990009,0.0013933434986066,200,0.1433481766148538,0.3638249762002757,0.0049751243781094,200,0.1445097388604566,0.5027992327722198,0.07462686567164178
MAPK signaling pathway,212,44732,0.0047173453494906,0.004717300646007,4.4703483581542975e-08,0.2101483677924372,0.0908686579255372,0.3294280776593372,0.000609104817347,0.0019980019980019,0.0026473526473526,0,,,,200,0.2101483677924372,0.2101483677924372,1.0
Ras signaling pathway,85,7140,0.0117671117186546,0.0117667149752378,3.9674341678619385e-07,0.3260766850103488,0.2063369773266162,0.4458163926940813,8.912636555103789e-08,0.0009990009990009,0.0013933434986066,200,0.1236287543582035,0.3830002947932648,0.1044776119402985,200,0.1850355100160483,0.4399090438429048,0.2835820895522388
