pathway,n_edges,d_raw,d_adj,p_raw,p_adj,q_adj
Cell cycle,15252,4.777684807777405e-07,-2.705492e-07,,0.0015593802601060502,0.002430798640753549
p53 signaling pathway,2450,1.562759280204773e-06,8.158386e-07,,1.2023659674580837e-06,2.7706694032729755e-06
Cellular senescence,12210,5.168840289115906e-07,-2.3143366e-07,,0.004296302676673087,0.0061541632936128
Apoptosis,9312,5.103647708892822e-07,-2.3754546e-07,,0.00036871072642728124,0.0005921717727468456
Necroptosis,14762,2.468004822731018e-07,-5.022157e-07,,1.0185458614809395e-12,3.855923618463557e-12
Ferroptosis,1056,4.969537258148193e-06,4.226342e-06,,1.8561814294799803e-19,1.9675523152487794e-18
Autophagy,8010,6.92903995513916e-07,-5.570473e-08,,0.3649585896702885,0.3792706912259861
Mitophagy,1122,3.980472683906555e-06,3.227964e-06,,3.9311750718841567e-13,1.6027098369989253e-12
MAPK signaling pathway,44732,4.470348358154297e-08,-7.036142e-07,,2.566689129340095e-16,1.5114947095002783e-15
Ras signaling pathway,7140,3.9674341678619385e-07,-3.5128323e-07,,3.286826126148701e-08,9.677876926993399e-08
Rap1 signaling pathway,7140,4.945322871208191e-07,-2.5256304e-07,,0.0002935506846224713,0.0004861933214059681
ErbB signaling pathway,110,4.216283559799194e-05,4.1410327e-05,,2.913176558438036e-13,1.286652979976799e-12
mTOR signaling pathway,7656,4.889443516731262e-07,-2.5843474e-07,,6.361163801787522e-06,1.2486728944249578e-05
AMPK signaling pathway,5402,5.522742867469788e-07,-1.9581057e-07,,0.04768551640529578,0.05743937203365173
FoxO signaling pathway,812,3.5353004932403564e-06,2.7883798e-06,,2.5111618514469102e-06,5.118906851026393e-06
Hippo signaling pathway,5256,5.448237061500549e-07,-2.0326115e-07,,0.004838114177879638,0.006747896090200547
Wnt signaling pathway,4290,3.948807716369629e-07,-3.518071e-07,,2.4305326070967463e-05,4.6006510062902694e-05
Notch signaling pathway,1806,1.6633421182632446e-06,9.1455877e-07,,0.00013682305751049187,0.0002339232918727764
Hedgehog signaling pathway,1406,2.5685876607894897e-06,1.821667e-06,,2.188590067758866e-06,4.6398109436487955e-06
JAK-STAT signaling pathway,8190,2.4121254682540894e-07,-5.0730887e-07,,1.3631814275769876e-14,6.568055969234577e-14
TGF-beta signaling pathway,1640,4.3213367462158203e-07,-3.1664968e-07,,0.28494851317249137,0.3146306499612926
NF-kappa B signaling pathway,2070,1.6186386346817017e-06,8.6892396e-07,,0.042752938741929654,0.05269548263540167
TNF signaling pathway,462,2.9690563678741455e-06,2.220273e-06,,0.1497549090775416,0.1725436995893414
VEGF signaling pathway,20,0.00011536478996276855,0.00011463463,,0.003607417168720087,0.005310919720615683
HIF-1 signaling pathway,1190,4.71062958240509e-06,3.9599836e-06,,6.519297335517959e-22,1.1517425292748394e-20
PD-L1 expression and PD-1 checkpoint pathway in cancer,272,1.0766088962554932e-06,3.2410026e-07,,0.3639865490755263,0.3792706912259861
Proteoglycans in cancer,3080,2.812594175338745e-07,-4.679896e-07,,0.004978409626691088,0.006765531031144299
