pathway,n_genes,n_edges,mean_hi,mean_lo,d,cohen_d,d_ci_lo,d_ci_hi,mw_p,perm_p,perm_q,n_null_edge_sets,null_median_abs_d,null_pct,n_null_block_sets,block_null_median_abs_d,block_null_pct
Cell cycle,124,15252,0.008062259294092655,0.00806430634111166,-2.0470470190048218e-06,-1.0459942955654216,-1.2270274426392922,-0.8649611484915509,1.4785180274352882e-31,0.000999000999000999,0.0010182125566740952,0,,,200,0.3327194591622794,0.4975124378109453
p53 signaling pathway,49,2352,0.02038925141096115,0.020403465256094933,-1.4213845133781433e-05,-0.6603254824752678,-0.8346856369046929,-0.4859653280458427,8.314289663692602e-21,0.000999000999000999,0.0010182125566740952,200,0.1185159454716512,0.004975124378109453,200,0.09342668876372627,0.01990049751243781
Cellular senescence,110,11990,0.009087836369872093,0.00909060426056385,-2.767890691757202e-06,-0.9586643713130224,-1.1379465604632704,-0.7793821821627744,2.5574945399395194e-34,0.000999000999000999,0.0010182125566740952,0,,,200,0.13906053011784542,0.14925373134328357
Apoptosis,96,9120,0.010411958210170269,0.0104161836206913,-4.225410521030426e-06,-1.077559575557472,-1.2592586727549828,-0.8958604783599612,5.588972860901272e-36,0.000999000999000999,0.0010182125566740952,38,0.09351073885981452,0.02564102564102564,200,0.1299565609460754,0.16417910447761194
Necroptosis,96,9120,0.010412594303488731,0.010416371747851372,-3.777444362640381e-06,-1.0144803601789965,-1.1948660455626834,-0.8340946747953095,1.0473612180140166e-31,0.000999000999000999,0.0010182125566740952,40,0.076569311959101,0.024390243902439025,200,0.12085411361554481,0.24875621890547264
Ferroptosis,33,1056,0.03025732934474945,0.03029591217637062,-3.8582831621170044e-05,-0.9244642690100854,-1.1030980009639364,-0.7458305370562345,3.76899223067455e-29,0.000999000999000999,0.0010182125566740952,200,0.09397148744161438,0.004975124378109453,200,0.11367054666385412,0.04477611940298507
Autophagy,89,7832,0.011231101118028164,0.011235478334128857,-4.377216100692749e-06,-0.9231388051796297,-1.1017478330890642,-0.744529777270195,1.6872201017101295e-37,0.000999000999000999,0.0010182125566740952,200,0.07790986281691932,0.004975124378109453,200,0.1035781351449876,0.0845771144278607
Mitophagy,33,1056,0.03027745708823204,0.030300136655569077,-2.2679567337036133e-05,-0.736160608842244,-0.9116117717146424,-0.5607094459698456,1.9290783569405161e-19,0.000999000999000999,0.0010182125566740952,200,0.10023547693507938,0.004975124378109453,200,0.10959214000028257,0.09950248756218906
MAPK signaling pathway,210,43890,0.004760985262691975,0.004761818330734968,-8.330680429935455e-07,-1.0511815255854768,-1.23232291754115,-0.8700401336298036,6.243052652769221e-27,0.000999000999000999,0.0010182125566740952,0,,,200,1.0511815255854768,1.0
Ras signaling pathway,81,6480,0.01233998965471983,0.012345329858362675,-5.340203642845154e-06,-1.0335501549109825,-1.2143255457102868,-0.8527747641116781,6.204270545502005e-34,0.000999000999000999,0.0010182125566740952,200,0.09624609458948931,0.004975124378109453,200,0.10033102170532211,0.05970149253731343
Rap1 signaling pathway,84,6972,0.011897273361682892,0.011903876438736916,-6.603077054023743e-06,-1.124356624124128,-1.307074723998174,-0.9416385242500821,2.353646636223464e-37,0.000999000999000999,0.0010182125566740952,200,0.0890148560039656,0.004975124378109453,200,0.09404949011622818,0.07462686567164178
ErbB signaling pathway,11,110,0.09068996459245682,0.09088178724050522,-0.00019182264804840088,-0.6842968298299972,-0.8589897634890604,-0.5096038961709339,1.744058298448271e-12,0.000999000999000999,0.0010182125566740952,0,,,200,0.09456727760850926,0.029850746268656716
mTOR signaling pathway,86,7310,0.011622723191976547,0.011627361178398132,-4.637986421585083e-06,-1.0150938379392482,-1.195491960209028,-0.8346957156694687,1.1912029388018404e-30,0.000999000999000999,0.0010182125566740952,200,0.09618158204450257,0.004975124378109453,200,0.09840419982114425,0.12437810945273632
AMPK signaling pathway,74,5402,0.013504506088793278,0.01351279579102993,-8.289702236652374e-06,-1.084487110388913,-1.2663346775354782,-0.902639543242348,1.3403606558266436e-36,0.000999000999000999,0.0010182125566740952,200,0.1177461564655812,0.004975124378109453,200,0.10402173083275104,0.05472636815920398
FoxO signaling pathway,28,756,0.03566259518265724,0.03570741042494774,-4.4815242290496826e-05,-0.907431360478948,-1.0857500753427112,-0.7291126456151847,1.396681815640953e-18,0.000999000999000999,0.0010182125566740952,200,0.10430946366473484,0.004975124378109453,200,0.10071015977124212,0.029850746268656716
Hippo signaling pathway,71,4970,0.014077636413276196,0.014083866029977798,-6.229616701602936e-06,-0.9784465565964672,-1.1581134711124619,-0.7987796420804725,6.278806878498063e-26,0.000999000999000999,0.0010182125566740952,200,0.0994246507081962,0.004975124378109453,200,0.09470585281554095,0.03980099502487562
