pathway,n_edges,d_raw,d_adj,p_raw,p_adj,q_adj
Cell cycle,15252,-2.0470470190048218e-06,4.550442e-06,,3.015038851541653e-35,7.989852956585381e-34
p53 signaling pathway,2352,-1.4213845133781433e-05,-7.6154247e-06,,6.449541587801128e-05,0.00012208060862623564
Cellular senescence,11990,-2.767890691757202e-06,3.8295984e-06,,4.302317817443951e-27,4.560456886490588e-26
Apoptosis,9120,-4.225410521030426e-06,2.3720786e-06,,1.8591647841221934e-15,8.957793959861478e-15
Necroptosis,9120,-3.777444362640381e-06,2.818997e-06,,7.578457149303537e-21,5.737974698758392e-20
Ferroptosis,1056,-3.8582831621170044e-05,-3.1987205e-05,,2.259172637520306e-13,9.21047306065971e-13
Autophagy,7832,-4.377216100692749e-06,2.2202148e-06,,1.382031895808511e-10,4.577980654865693e-10
Mitophagy,1056,-2.2679567337036133e-05,-1.608394e-05,,0.1432182862863843,0.1765248644925202
MAPK signaling pathway,43890,-8.330680429935455e-07,5.7634898e-06,,1.2756840244473345e-42,6.761125329570872e-41
Ras signaling pathway,6480,-5.340203642845154e-06,1.2569362e-06,,2.4717901129905994e-07,5.69586417341312e-07
Rap1 signaling pathway,6972,-6.603077054023743e-06,-4.5329216e-09,,0.008920941889330824,0.01390617412160393
ErbB signaling pathway,110,-0.00019182264804840088,-0.00018522888,,0.8935009361740874,0.8935009361740874
mTOR signaling pathway,7310,-4.637986421585083e-06,1.9575673e-06,,8.283892514091491e-12,3.136045023191779e-11
AMPK signaling pathway,5402,-8.289702236652374e-06,-1.6909325e-06,,0.08012831879798152,0.10617002240732551
FoxO signaling pathway,756,-4.4815242290496826e-05,-3.8217753e-05,,5.380151604918471e-08,1.2961274320939952e-07
Hippo signaling pathway,4970,-6.229616701602936e-06,3.6787242e-07,,0.031210325999117407,0.04594853549870063
Wnt signaling pathway,4032,-7.839873433113098e-06,-1.2433156e-06,,0.5277738559956557,0.5951492418674416
Notch signaling pathway,1806,-2.1472573280334473e-05,-1.4875084e-05,,1.3794416417513643e-09,4.061689278490128e-09
Hedgehog signaling pathway,1190,-2.857111394405365e-05,-2.1979213e-05,,1.0249513062353438e-08,2.859074696340696e-08
JAK-STAT signaling pathway,8190,-3.7392601370811462e-06,2.8567156e-06,,1.1008819535984908e-19,7.293342942590001e-19
TGF-beta signaling pathway,1482,-2.045370638370514e-05,-1.3856217e-05,,1.0901183217256077e-05,2.2221642712098927e-05
NF-kappa B signaling pathway,2070,-1.3815239071846008e-05,-7.21775e-06,,0.06850647305231122,0.09309854030185884
TNF signaling pathway,462,-6.513670086860657e-05,-5.853921e-05,,0.0881002023315357,0.1138856274041803
VEGF signaling pathway,20,-0.0009339898824691772,-0.00092740357,,0.00048495075226024666,0.0008567463289931024
HIF-1 signaling pathway,1056,-3.112666308879852e-05,-2.4529174e-05,,0.0007276409674781638,0.0012440313314949253
PD-L1 expression and PD-1 checkpoint pathway in cancer,272,-7.427483797073364e-05,-6.7681074e-05,,0.7096127454583532,0.7300995033013262
Proteoglycans in cancer,2862,-1.3502314686775208e-05,-6.9052912e-06,,5.34279679838924e-07,1.179867626310957e-06
Central carbon metabolism in cancer,306,-0.00011076778173446655,-0.00010417029,,0.006288389621478047,0.010099534846616258
Transcriptional misregulation in cancer,10920,-3.2940879464149475e-06,3.3029355e-06,,5.657519660050771e-28,7.496213549567272e-27
Chemical carcinogenesis,12882,-2.7585774660110474e-06,3.838679e-06,,2.6616028186404236e-22,2.3510824897990405e-21
Viral carcinogenesis,2756,-1.2837350368499756e-05,-6.240327e-06,,0.00033441185087071124,0.0006111664860740584
Non-small cell lung cancer,20,-0.000688597559928894,-0.00068199635,,6.171461067588705e-05,0.00012114349503044496
Small cell lung cancer,506,-7.322058081626892e-05,-6.662682e-05,,4.1160544338801864e-08,1.0907544249782494e-07
Breast cancer,12,-0.00048016011714935303,-0.0004735887,,9.612077172181946e-15,4.24533408438036e-14
Colorectal cancer,30,-0.000225752592086792,-0.00021915138,,9.471065724919299e-10,2.9527440201218987e-09
Gastric cancer,42,-4.1037797927856445e-05,-3.440678e-05,,2.1322652992755488e-19,1.255667342906712e-18
Hepatocellular carcinoma,600,-3.583729267120361e-05,-2.9243529e-05,,0.13003255284580778,0.16408869763875744
T cell receptor signaling pathway,72,-0.0001935213804244995,-0.00018691272,,0.06565238973977876,0.09156780674232301
B cell receptor signaling pathway,506,-3.831833600997925e-05,-3.1728297e-05,,0.5396064016171205,0.5958154017855705
Natural killer cell mediated cytotoxicity,1190,-1.695379614830017e-05,-1.0356307e-05,,0.3730786963921322,0.42985154149528276
Antigen processing and presentation,1190,-2.2932887077331543e-05,-1.6335398e-05,,0.04869103438662089,0.06974661682407857
Cytokine-cytokine receptor interaction,12432,-1.9604340195655823e-06,4.6375208e-06,,1.4436168947457783e-32,2.5503898473842086e-31
Chemokine signaling pathway,240,-9.493157267570496e-05,-8.833408e-05,,0.616633944721602,0.6536319814048981
ECM-receptor interaction,2450,-1.1185184121131897e-05,-4.5886263e-06,,0.030296437749105242,0.04587746287721651
Focal adhesion,600,-5.282089114189148e-05,-4.622899e-05,,0.0007610860135228999,0.001260548709897303
Cell adhesion molecules,8010,-4.215165972709656e-06,2.3821485e-06,,3.4625402443667365e-11,1.2234308863429136e-10
Regulation of actin cytoskeleton,3906,-8.475035429000854e-06,-1.8784776e-06,,0.3715714997273517,0.42985154149528276
Glycolysis / Gluconeogenesis,870,-3.656744956970215e-05,-2.9973686e-05,,5.442073631648878e-06,1.1537196099095622e-05
Oxidative phosphorylation,8010,-4.4461339712142944e-06,2.1518208e-06,,5.304307310784935e-08,1.2961274320939952e-07
DNA replication,812,-2.4624168872833252e-05,-1.8022954e-05,,0.7163240409748861,0.7300995033013262
Mismatch repair,6,-0.0012407898902893066,-0.001234144,,1.3555362580568513e-16,7.1843421677013115e-16
Base excision repair,240,-9.254366159439087e-05,-8.59499e-05,,0.27429622255213937,0.33040226807416784
Homologous recombination,462,-3.91937792301178e-05,-3.259629e-05,,0.5991258694854613,0.6480341037291725
