pathway,k,n_edges,mean_abs_d,topdec_mean_abs_d,concentration,max_abs_d,null_median_mean_abs_d,pct_mean,null_median_topdec,pct_topdec,null_median_conc,pct_conc,null_median_max,pct_max
FoxO signaling pathway,29,812,0.001974159076332703,0.008576046948025818,0.4386951449471659,0.0200985223054885,0.0008387966038488983,92.0,0.0034970222097798313,100.0,0.3894136400941392,69.5,0.0048252544365823,100.0
Rap1 signaling pathway,85,7140,0.0008854655864588064,0.0038268573605650604,0.43218589396224866,0.0083382474258542,0.0005929545444600258,95.5,0.0023965441878801047,100.0,0.4118785371799573,65.5,0.0043517742305994,92.0
Autophagy,90,8010,0.0008045522139154919,0.003293408501832772,0.40934677014992377,0.0065889041870832,0.0005213414476986333,100.0,0.0023101893173397663,100.0,0.40934677014992377,54.50000000000001,0.0043517742305994,84.5
MAPK signaling pathway,212,44732,0.0003504140677424392,0.0016315429995795994,0.4656875792551117,0.004861841443926,0.0003504140677424392,100.0,0.0016315429995795994,100.0,0.4656875792551117,100.0,0.004861841443926,100.0
HIF-1 signaling pathway,35,1190,0.0020565778173568363,0.008043973683183884,0.3911339320737299,0.0190739464014768,0.0007377485443344412,96.5,0.0027458200528591124,100.0,0.3915618025330224,46.0,0.0041707241907715,100.0
Necroptosis,122,14762,0.0005804442648788415,0.0024158166284491437,0.41642686180397653,0.0080128712579607,0.0004459918399861238,73.5,0.0018421597499778215,100.0,0.40001189952607297,78.0,0.0042651314288377,100.0
Chemical carcinogenesis,120,14280,0.0005106850958647916,0.002647850363116128,0.5184898452210107,0.0134903779253363,0.0004725492902912309,56.49999999999999,0.0018563018193799266,100.0,0.41717631100030816,99.0,0.0048618204891681,100.0
PD-L1 expression and PD-1 checkpoint pathway in cancer,17,272,0.003702251856927437,0.015797809165503253,0.43925835518505096,0.0223565809428691,0.0008597913924056366,100.0,0.0028305867121421373,100.0,0.3157055423831216,77.5,0.0033391695469617002,100.0
Proteoglycans in cancer,56,3080,0.0011298567159463738,0.004849658879850541,0.4292277783018214,0.0118209980428218,0.0006924749486595411,100.0,0.0025949269403134547,100.0,0.38727024243686664,69.5,0.00446959631517525,94.5
Non-small cell lung cancer,5,20,0.006924761086702297,0.017617858946323353,0.2544182929307863,0.0177937895059585,0.0010192884597926813,96.5,0.002293258206918775,99.0,0.2172617219198416,71.0,0.0023363316431640998,99.0
NF-kappa B signaling pathway,46,2070,0.001158875681387875,0.005093170050981488,0.4394923573581149,0.0072308909147977,0.0007094076866112683,99.0,0.0026325309055222484,98.5,0.4018456574291407,73.0,0.004228241275995951,82.0
Hedgehog signaling pathway,38,1406,0.0013314308280689131,0.005139232751853872,0.3870913534909578,0.0083728712052106,0.000712401502544438,97.0,0.002764253279339499,98.0,0.3872482304293143,50.0,0.004203664138913101,90.0
Regulation of actin cytoskeleton,63,3906,0.0010120839789448284,0.003996834954451671,0.39531580961983315,0.0104057099670171,0.0006394890694116967,100.0,0.002453116265356568,98.0,0.39531580961983315,51.5,0.0042651314288377,96.0
Ferroptosis,33,1056,0.002398634184800944,0.007251853808620016,0.30347782908958154,0.0083193555474281,0.0007661346175926152,100.0,0.0029179466194209137,98.0,0.3778490948743263,16.0,0.0043323310092091,83.5
Central carbon metabolism in cancer,19,342,0.0026473580309521595,0.008072328248194238,0.3120527916276448,0.0087890438735485,0.0009365244305621374,99.0,0.00315525224432344,98.0,0.325175650512887,42.0,0.0040638893842697005,93.5
Breast cancer,4,12,0.006750674297412183,0.012162342667579599,0.3002747610028116,0.012208729982376,0.001008662938450729,99.0,0.001866719452664175,97.0,0.32837386989247747,39.5,0.0018801228143274,97.0
ErbB signaling pathway,11,110,0.004678072441707905,0.01261285082860422,0.26961640688059607,0.0134062692523002,0.0010122719855809263,100.0,0.003203554375266441,97.0,0.29962839018268395,37.5,0.0033468101173639003,97.0
Antigen processing and presentation,35,1190,0.002269108458852518,0.006780419608249332,0.2988142581636742,0.0095318853855133,0.0007359221933737815,100.0,0.0027675936076820866,96.0,0.39113393207372993,11.0,0.0042099310085177005,91.0
Chemokine signaling pathway,16,240,0.0025139472602555687,0.010739524227877417,0.42719767425771826,0.0151934698224067,0.0011435463151428398,86.0,0.0036583533510565246,95.5,0.3147384431447632,77.5,0.0042638443410396,95.5
Base excision repair,16,240,0.0033285616276164374,0.009553537859270921,0.28701700398175145,0.0103185325860977,0.0010440027224830825,98.5,0.003393552382476581,94.0,0.33064813216672373,32.0,0.004038540646433801,89.0
VEGF signaling pathway,5,20,0.004210593551397275,0.0102443248033523,0.24329882897276434,0.0102800726890563,0.0010845248354598375,93.5,0.0022033108398317753,93.5,0.2265260187875434,62.0,0.0022360361181199,93.5
p53 signaling pathway,50,2450,0.0010690730414828005,0.004265296839329613,0.3989715083839043,0.0086579713970422,0.0006914170310661038,95.0,0.0028048575361619876,93.0,0.3989715083839043,53.0,0.00446869339793915,88.5
TNF signaling pathway,22,462,0.002397441430202759,0.007615276394372232,0.32314210285538614,0.0082406252622604,0.0008581998098834816,96.5,0.0031787213928838494,92.5,0.35469935740942304,38.0,0.00413929717615245,84.0
Glycolysis / Gluconeogenesis,30,870,0.0019892062949037606,0.006161957979202224,0.3097696802482894,0.0120391733944416,0.000712115710986538,91.5,0.002695968904500334,91.5,0.3784698991937222,22.0,0.0041397982276976004,95.5
Hepatocellular carcinoma,25,600,0.0021682480846841644,0.0067345075309276125,0.310596724539876,0.0078928396105766,0.0008686100742003092,95.0,0.0031055180976787707,90.0,0.3569184217778332,31.0,0.0041949581354856005,79.5
Cell cycle,124,15252,0.0004684593389103451,0.001829426738080735,0.3907246925133409,0.0042651314288377,0.0004078430701154303,53.5,0.001829426738080735,89.0,0.41003651005222197,48.0,0.0042651314288377,67.5
Colorectal cancer,6,30,0.00376913398504252,0.007330814997355067,0.19449600429294284,0.0073845833539962,0.0009950727922841472,93.5,0.0021068357552090832,87.0,0.23089401489653155,28.999999999999996,0.0021413834765552997,86.5
Notch signaling pathway,43,1806,0.0012932215576964144,0.0045498512911697295,0.3526022632429581,0.0067823939025402,0.0007216528260199119,96.0,0.002711912298070741,87.0,0.4073325629006347,32.0,0.0043517742305994,72.5
Small cell lung cancer,23,506,0.002026717152755673,0.006078573710778135,0.30229307866374117,0.0064466148614883,0.0009197113932415454,90.5,0.00326551306152748,86.5,0.3338946201763534,32.5,0.0042479820549488,73.0
Viral carcinogenesis,90,8010,0.0007250672428357808,0.0026150826474048926,0.36066760334905634,0.0037768641486763,0.0004961009292843131,84.5,0.002294088979501613,84.0,0.40934677014992377,15.5,0.0043517742305994,26.0
ECM-receptor interaction,50,2450,0.0006741613157245285,0.004143761379682236,0.6146542797741058,0.0076861307024955,0.0006595502368041068,55.00000000000001,0.0025923562065070494,84.0,0.4048539242419666,96.5,0.00434991810470815,76.0
Wnt signaling pathway,66,4290,0.0007915303896947273,0.002986935147524943,0.37736203011446295,0.0044837445020675,0.0006490153016843374,81.0,0.0024952761066907706,83.5,0.3878006869234373,41.0,0.0043517742305994,61.0
Ras signaling pathway,85,7140,0.0007569146904759983,0.0031175691548327436,0.4118785371799573,0.0123549439013004,0.000568099942707853,80.5,0.002479585363720011,82.5,0.4118785371799573,50.5,0.0044134985655546,92.5
AMPK signaling pathway,74,5402,0.0008212094092089483,0.0031398451592696956,0.3829102570283023,0.005251994356513,0.0005709185503437934,82.5,0.002479490102742112,82.0,0.414244236159171,33.5,0.0048365192487835,63.0
Cell adhesion molecules,94,8742,0.00044259579564152326,0.0025512681028672136,0.5769604796514497,0.0051934253424406,0.0005156589095671827,33.0,0.0022116178151751777,81.5,0.40425938087812985,99.5,0.0042544035241007,76.5
Cellular senescence,111,12210,0.000646216068782911,0.0025039156174239416,0.38747343781466753,0.005808712914586,0.0004675888925306808,100.0,0.0018612996640368301,81.0,0.41202247154497756,24.0,0.0042651314288377,73.5
Apoptosis,97,9312,0.0006690688602885111,0.002456365912641015,0.36744740916122837,0.0041400548070669,0.000524515399852917,96.5,0.0021127286639919434,79.0,0.3986531200125444,21.0,0.004259705077856699,35.5
TGF-beta signaling pathway,41,1640,0.000942067712227339,0.0038170813605552245,0.4051812105448838,0.0049778372049331,0.0006601627879185024,78.5,0.0025226797868792457,76.0,0.4047336892694886,53.0,0.00430845282971855,63.0
B cell receptor signaling pathway,23,506,0.0012385691092772469,0.005487948290857564,0.44659044375221596,0.0108147822320461,0.0009198370794562732,61.0,0.003445636554091533,75.5,0.37477395542971276,76.0,0.00435777939856045,91.5
Mismatch repair,3,6,0.0024901777505874335,0.0034797191619873,0.23289630369869738,0.0034797191619873,0.0012795927468686999,78.5,0.0021988674998283,73.5,0.28736442940398754,18.5,0.0021988674998283,73.5
DNA replication,29,812,0.0014763701904399445,0.004121133875919501,0.28188974601794103,0.0060798525810241,0.0008376867755824978,83.5,0.003184259346708969,73.0,0.3431363126911706,13.5,0.00476201483979815,68.0
Mitophagy,34,1122,0.0014066294934633324,0.003828512240959433,0.2741169603556987,0.0054481737315654,0.0007498684827297617,92.0,0.0028561528656730127,68.5,0.38891907397852205,1.0,0.00445424439385525,64.0
Hippo signaling pathway,73,5256,0.0007854471544137884,0.0027756256780838077,0.3536505302468111,0.0048645613715052,0.0005995781480988417,81.5,0.0024930356590947894,68.0,0.4049592699725586,14.499999999999998,0.0043517742305994,59.5
Focal adhesion,25,600,0.0018449119788904492,0.0038735080510377477,0.20995625240437318,0.0042638443410396,0.0009286364035990877,84.5,0.003155644393215532,61.5,0.3425614111645454,0.5,0.004162819590419449,53.0
