pathway,n_genes,n_edges,mean_hi,mean_lo,d,cohen_d,d_ci_lo,d_ci_hi,mw_p,perm_p,perm_q,n_null_sets,null_median_abs_d,null_p95,null_pct,n_null_block_sets,block_null_median_abs_d,block_null_p95,block_null_pct
Cell cycle,124,15252,0.0080639347434043,0.0080637698993086,1.648440957069397e-07,0.1702136772978232,-0.0008534393913947,0.3412807939870412,0.0019952845473953,0.0439560439560439,0.3328100470957614,0,,,,200,0.17021367729782325,0.2521626043320959,0.6318407960199005
p53 signaling pathway,50,2450,0.0199964437633752,0.0199959576129913,4.861503839492798e-07,0.0909188068840841,-0.0799275798511368,0.2617651936193052,0.1615983219142759,0.3126873126873127,0.79887759299524,200,0.1107363958641998,0.2487951783259973,0.5771144278606966,200,0.10136118281433076,0.2496232320456912,0.572139303482587
Cellular senescence,111,12210,0.009008266031742,0.0090083424001932,-7.636845111846925e-08,-0.0736234986241508,-0.2444395268662732,0.0971925296179715,0.4213224210558154,0.4295704295704295,0.79887759299524,0,,,,200,0.07390505175877368,0.24059310242783677,0.6368159203980099
Apoptosis,97,9312,0.0103082507848739,0.0103084165602922,-1.657754182815552e-07,-0.123831769467671,-0.2947535336209525,0.0470899946856104,0.7972665160999513,0.1538461538461538,0.6272189349112427,200,0.0979715099475525,0.2480324323581104,0.3930348258706467,200,0.10499612540406328,0.22659703132567535,0.4228855721393035
Necroptosis,122,14762,0.0081961872056126,0.0081961257383227,6.146728992462158e-08,0.0716410487461977,-0.0991719070894369,0.2424540045818324,0.1032830706400147,0.4375624375624375,0.79887759299524,0,,,,200,0.07164104874619773,0.23481396749928388,0.7014925373134329
Ferroptosis,33,1056,0.0302931051701307,0.0302936844527721,-5.792826414108276e-07,-0.0421674999998024,-0.2129446648591125,0.1286096648595077,0.8433017157179385,0.5944055944055944,0.8145700453392761,200,0.1096797630029885,0.2698167302758695,0.8009950248756219,200,0.10174430860234161,0.27242207295089116,0.7711442786069652
Autophagy,90,8010,0.0111099341884255,0.0111099798232316,-4.5634806156158454e-08,-0.0268113035735541,-0.1975771646078445,0.1439545574607363,0.1446629910337591,0.7532467532467533,0.8394314019314019,200,0.099500128755023,0.2508164042668231,0.8507462686567164,200,0.10007608805757245,0.22921360101504684,0.8308457711442786
Mitophagy,34,1122,0.0294055100530385,0.0294044576585292,1.0523945093154907e-06,0.0926643657844798,-0.0781854391609916,0.2635141707299513,0.0104921017437625,0.3236763236763236,0.79887759299524,200,0.11846442164804,0.2536062583103075,0.5970149253731343,200,0.09293062606317694,0.24486158316603193,0.5522388059701493
MAPK signaling pathway,212,44732,0.0047167702578008,0.0047167940065264,-2.3748725652694705e-08,-0.0750330625995817,-0.2458513263637079,0.0957852011645443,0.6410109077137663,0.3966033966033966,0.79887759299524,0,,,,200,0.07503306259958177,0.07503306259958177,1.0
Ras signaling pathway,85,7140,0.0117636751383543,0.0117636257782578,4.936009645462036e-08,0.0301978906205163,-0.1405700307827854,0.2009658120238182,0.9157061064324028,0.7402597402597403,0.8394314019314019,200,0.1222886494148604,0.2419855569866299,0.8955223880597015,200,0.09168518319635566,0.25205745625136,0.845771144278607
Rap1 signaling pathway,85,7140,0.0117634385824203,0.0117633724585175,6.612390279769897e-08,0.0338204340544192,-0.1369499622052729,0.2045908303141115,0.1549350087386648,0.7102897102897103,0.8394314019314019,200,0.1085812293747486,0.253459417046357,0.8955223880597015,200,0.09627177214052468,0.241624501357239,0.8109452736318408
ErbB signaling pathway,11,110,0.0908613353967666,0.0908529013395309,8.434057235717773e-06,0.0785915415148277,-0.0922325543497106,0.2494156373793662,0.0249265343223564,0.3796203796203796,0.79887759299524,0,,,,200,0.10515211401642938,0.2859253545270685,0.6666666666666666
mTOR signaling pathway,88,7656,0.0113625796511769,0.0113624464720487,1.3317912817001345e-07,0.0821322142216216,-0.0886979525074759,0.2529623809507191,0.2078341706969841,0.3606393606393606,0.79887759299524,200,0.0943573130399249,0.2520446688944012,0.5522388059701493,200,0.09515140467883842,0.25707902950123707,0.6318407960199005
AMPK signaling pathway,74,5402,0.0135120023041963,0.0135118784382939,1.2386590242385864e-07,0.0499290602764225,-0.1208557322983238,0.220713852851169,0.0154305193143041,0.5804195804195804,0.8145700453392761,200,0.1035343397568672,0.2600943866840566,0.7313432835820896,200,0.09134408247247167,0.24000921200563582,0.7860696517412935
