pathway,n_edges,d_raw,d_adj,p_raw,p_adj,q_adj
Cell cycle,15252,1.648440957069397e-07,-1.5902333e-07,,0.19403554615575258,0.34814550653348497
p53 signaling pathway,2450,4.861503839492798e-07,1.6205013e-07,,0.9116218778550427,0.9504369339835919
Cellular senescence,12210,-7.636845111846924e-08,-4.011672e-07,,0.003823122726543312,0.022508547860274723
Apoptosis,9312,-1.6577541828155518e-07,-4.878966e-07,,0.00017905212093118213,0.0031632541364508843
Necroptosis,14762,6.146728992462158e-08,-2.635643e-07,,0.03726616426104581,0.10972815032419042
Ferroptosis,1056,-5.792826414108276e-07,-9.0152025e-07,,0.4936263785510824,0.6381023917855455
Autophagy,8010,-4.563480615615845e-08,-3.6979327e-07,,0.07485958534640866,0.18893133444569804
Mitophagy,1122,1.0523945093154907e-06,7.264316e-07,,0.20292097167226075,0.34814550653348497
MAPK signaling pathway,44732,-2.3748725652694702e-08,-3.4831464e-07,,0.009167033820617843,0.03737329173021121
Ras signaling pathway,7140,4.936009645462036e-08,-2.734596e-07,,0.00719110224311577,0.034648038080466896
Rap1 signaling pathway,7140,6.612390279769897e-08,-2.5797635e-07,,0.12470802015844759,0.27539687784990513
ErbB signaling pathway,110,8.434057235717773e-06,8.121133e-06,,0.5800922903455055,0.7096396228373729
mTOR signaling pathway,7656,1.3317912817001343e-07,-1.8912397e-07,,0.15311737907748058,0.3121238881194796
AMPK signaling pathway,5402,1.2386590242385864e-07,-1.9953586e-07,,0.36753344012205635,0.556550637899114
FoxO signaling pathway,812,9.275972843170166e-07,5.979091e-07,,0.3888932027670169,0.5570632363959971
Hippo signaling pathway,5256,-1.0617077350616455e-07,-4.3027103e-07,,0.015129673568600616,0.05345817994238885
Wnt signaling pathway,4290,-1.909211277961731e-07,-5.145557e-07,,0.007884713623253119,0.03482415183603461
Notch signaling pathway,1806,9.12696123123169e-08,-2.3189932e-07,,0.19610600030856729,0.34814550653348497
Hedgehog signaling pathway,1406,1.1082738637924194e-06,7.8510493e-07,,0.8560811745704251,0.945256296921511
JAK-STAT signaling pathway,8190,0.0,-3.2345997e-07,,0.010102736197983303,0.03824607274950821
TGF-beta signaling pathway,1640,-4.284083843231201e-07,-7.50646e-07,,0.19561166140965947,0.34814550653348497
NF-kappa B signaling pathway,2070,-3.8929283618927e-07,-7.1246177e-07,,0.13006310879592461,0.27573379064736014
TNF signaling pathway,462,1.8030405044555664e-06,1.475215e-06,,0.4239711726522122,0.5761659525786473
VEGF signaling pathway,20,7.72327184677124e-05,7.6919794e-05,,0.9819699387655206,0.9906421049014336
HIF-1 signaling pathway,1190,2.4456530809402466e-06,2.1234155e-06,,0.056126409734505556,0.15656314294362078
PD-L1 expression and PD-1 checkpoint pathway in cancer,272,5.301088094711304e-06,4.9732625e-06,,0.5891347812234794,0.7096396228373729
Proteoglycans in cancer,3080,-3.203749656677246e-07,-6.468035e-07,,0.01708284678919534,0.05658692998920956
Central carbon metabolism in cancer,342,2.4177134037017822e-06,2.1010637e-06,,0.9145713893049658,0.9504369339835919
Transcriptional misregulation in cancer,15006,-7.450580596923828e-09,-3.3224933e-07,,0.004246895822693344,0.022508547860274723
Chemical carcinogenesis,14280,7.450580596923828e-08,-2.4982728e-07,,0.02993540885141575,0.09332803936029616
Viral carcinogenesis,8010,1.7601996660232544e-07,-1.4962279e-07,,0.404027287011519,0.5635117424108028
Non-small cell lung cancer,20,-1.5035271644592285e-05,-1.5363097e-05,,0.059870417342222024,0.15865660595688835
Small cell lung cancer,506,7.562339305877686e-07,4.3213367e-07,,0.5474445336133185,0.690822863845378
Breast cancer,12,0.00012889504432678223,0.00012853742,,0.384339244508368,0.5570632363959971
Colorectal cancer,30,3.3348798751831055e-05,3.3035874e-05,,0.4884014075506834,0.6381023917855455
Gastric cancer,42,-1.2934207916259766e-05,-1.3276935e-05,,0.0003323170156462177,0.0044032004573123845
Hepatocellular carcinoma,600,-7.115304470062256e-07,-1.0356307e-06,,0.36193305098721673,0.556550637899114
T cell receptor signaling pathway,90,-1.2278556823730469e-05,-1.2584031e-05,,0.003781475223814695,0.022508547860274723
B cell receptor signaling pathway,506,2.0526349544525146e-06,1.7397106e-06,,0.2952329662809541,0.47416203675425955
Natural killer cell mediated cytotoxicity,1190,-2.7008354663848877e-07,-5.9604645e-07,,0.07901385916940613,0.1903515698172057
Antigen processing and presentation,1190,4.880130290985107e-07,1.6391277e-07,,0.7441220162965596,0.8391163162493118
Cytokine-cytokine receptor interaction,12432,-5.681067705154419e-08,-3.8091093e-07,,0.000826366488267764,0.006849027632139305
Chemokine signaling pathway,240,2.0675361156463623e-06,1.7471611e-06,,0.6182551065587845,0.7281671255025683
ECM-receptor interaction,2450,-5.252659320831299e-07,-8.4843487e-07,,0.0009045885551882101,0.006849027632139305
Focal adhesion,600,3.166496753692627e-07,-5.5879354e-09,,0.9123024249853533,0.9504369339835919
Cell adhesion molecules,8742,-1.3969838619232178e-07,-4.6443893e-07,,0.00045635155338142556,0.004837326465843111
Regulation of actin cytoskeleton,3906,1.6577541828155518e-07,-1.5739352e-07,,0.26579824704449584,0.44022834666744626
Glycolysis / Gluconeogenesis,870,-2.2724270820617676e-07,-5.476177e-07,,0.20363227740637801,0.34814550653348497
Oxidative phosphorylation,10920,4.284083843231201e-08,-2.81143e-07,,0.09536413597852639,0.2197521394287782
DNA replication,812,4.429370164871216e-06,4.108995e-06,,2.4211468387328142e-05,0.0007600475122502058
Mismatch repair,6,0.00018140673637390137,0.0001810193,,0.6816419098993971,0.7853700266232184
Base excision repair,240,2.3581087589263916e-06,2.0302832e-06,,0.9906421049014336,0.9906421049014336
Homologous recombination,600,6.712973117828369e-06,6.3907355e-06,,2.8681038198120975e-05,0.0007600475122502058
