dataset,model,horizon,threshold,net_benefit
LUAD,treat_all,1y,0.05,0.07469520768562354
LUAD,treat_all,1y,0.1,0.023289385890380404
LUAD,treat_all,1y,0.15000000000000002,-0.0341641796454796
LUAD,treat_all,1y,0.2,-0.09879944087332207
LUAD,treat_all,1y,0.25,-0.1720527369315435
LUAD,treat_all,1y,0.3,-0.2557707895695109
LUAD,treat_all,1y,0.35000000000000003,-0.3523685426133195
LUAD,treat_all,1y,0.4,-0.46506592116442946
LUAD,treat_all,1y,0.45,-0.5982537321793775
LUAD,treat_all,1y,0.5,-0.7580791053973153
LUAD,treat_all,1y,0.55,-0.9534212282192394
LUAD,clinical,1y,0.05,3.518023082227373e-05
LUAD,clinical,1y,0.1,0.04504073097945726
LUAD,clinical,1y,0.15000000000000002,0.028125501121437597
LUAD,clinical,1y,0.2,0.02210747967833361
LUAD,clinical,1y,0.25,0.0022346404300187406
LUAD,clinical,1y,0.3,0.00026730105902816013
LUAD,clinical,1y,0.35000000000000003,0.0
LUAD,clinical,1y,0.4,0.0
LUAD,clinical,1y,0.45,0.0
LUAD,clinical,1y,0.5,0.0
LUAD,clinical,1y,0.55,0.0
LUAD,clinical+risk,1y,0.05,0.0036368534383126594
LUAD,clinical+risk,1y,0.1,0.04293975494175453
LUAD,clinical+risk,1y,0.15000000000000002,0.02662480395164993
LUAD,clinical+risk,1y,0.2,0.020490208012366645
LUAD,clinical+risk,1y,0.25,0.0019427317183838945
LUAD,clinical+risk,1y,0.3,0.00023661072053934515
LUAD,clinical+risk,1y,0.35000000000000003,0.0008368895884544112
LUAD,clinical+risk,1y,0.4,0.001737307890327011
LUAD,clinical+risk,1y,0.45,0.0
LUAD,clinical+risk,1y,0.5,0.0
LUAD,clinical+risk,1y,0.55,0.0
LUAD,risk,1y,0.05,0.0030365745703975905
LUAD,risk,1y,0.1,0.0028042442013798546
LUAD,risk,1y,0.15000000000000002,-0.001412229221670597
LUAD,risk,1y,0.2,-0.00014386242090066916
LUAD,risk,1y,0.25,-0.001800836603745199
LUAD,risk,1y,0.3,0.0
LUAD,risk,1y,0.35000000000000003,0.0
LUAD,risk,1y,0.4,0.0
LUAD,risk,1y,0.45,0.0
LUAD,risk,1y,0.5,0.0
LUAD,risk,1y,0.55,0.0
LUAD,treat_all,3y,0.05,0.3544387838837876
LUAD,treat_all,3y,0.1,0.31857427187733134
LUAD,treat_all,3y,0.15000000000000002,0.27849040551717436
LUAD,treat_all,3y,0.2,0.23339605586199777
LUAD,treat_all,3y,0.25,0.1822891262527976
LUAD,treat_all,3y,0.3,0.12388120669942598
LUAD,treat_all,3y,0.35000000000000003,0.05648745336861255
LUAD,treat_all,3y,0.4,-0.022138592184002992
LUAD,treat_all,3y,0.45,-0.11506028238254873
LUAD,treat_all,3y,0.5,-0.22656631062080357
LUAD,treat_all,3y,0.55,-0.36285145624533743
LUAD,clinical,3y,0.05,0.000503806830725817
LUAD,clinical,3y,0.1,0.000503806830725817
