dataset,sim,pathway,k,block_null_pct,real_abs_d,null_median_abs_d
BRCA,0,AMPK signaling pathway,74,0.3564356435643564,0.12163376251209809,0.08944364749342872
BRCA,0,Antigen processing and presentation,35,1.0,0.0,0.07466712075505393
BRCA,0,Apoptosis,97,1.0,0.0,0.06435956408495591
BRCA,0,Autophagy,90,0.7029702970297029,0.06042627185169032,0.07093680498836527
BRCA,0,B cell receptor signaling pathway,23,0.0594059405940594,0.24366858099888292,0.07998024082852359
BRCA,0,Base excision repair,16,1.0,0.0,0.09095719802447398
BRCA,0,Breast cancer,4,1.0,0.0,0.0795279958819847
BRCA,0,Cell adhesion molecules,94,0.18811881188118812,0.2621015657850286,0.09919803369221109
BRCA,0,Cell cycle,124,0.5841584158415841,0.20631534931292134,0.20631534931292134
BRCA,0,Cellular senescence,111,1.0,0.0,0.04389891399672752
BRCA,0,Central carbon metabolism in cancer,19,1.0,0.0,0.07603175527912591
BRCA,0,Chemical carcinogenesis,120,0.6534653465346535,0.07079566015949214,0.07079566015949214
BRCA,0,Chemokine signaling pathway,16,0.039603960396039604,0.4290270821095639,0.06884549832938341
BRCA,0,Colorectal cancer,6,1.0,0.0,0.09149389776264175
BRCA,0,Cytokine-cytokine receptor interaction,112,0.7425742574257426,0.067918040924068,0.07328905228584925
BRCA,0,DNA replication,29,1.0,0.0,0.07156902078418059
BRCA,0,ECM-receptor interaction,50,0.42574257425742573,0.1147712295498632,0.09797975980099796
BRCA,0,ErbB signaling pathway,11,0.039603960396039604,0.3616062843349894,0.08239095411128021
BRCA,0,Ferroptosis,33,1.0,0.0,0.06483182684384355
BRCA,0,Focal adhesion,25,1.0,0.0,0.06884053421251288
BRCA,0,FoxO signaling pathway,29,0.039603960396039604,0.2652032854796841,0.07940959856991169
BRCA,0,Gastric cancer,7,1.0,0.0,0.0904652728958496
BRCA,0,Glycolysis / Gluconeogenesis,30,1.0,0.0,0.07183297315243894
BRCA,0,HIF-1 signaling pathway,35,0.04950495049504951,0.5157635610253013,0.06612688505113898
BRCA,0,Hedgehog signaling pathway,38,1.0,0.0,0.07579375365416853
BRCA,0,Hepatocellular carcinoma,25,1.0,0.0,0.06277704066153561
BRCA,0,Hippo signaling pathway,73,0.6435643564356436,0.06420280475432637,0.09652217692365739
BRCA,0,Homologous recombination,25,1.0,0.0,0.08020486263985147
BRCA,0,JAK-STAT signaling pathway,91,1.0,0.0,0.057529602676998096
BRCA,0,MAPK signaling pathway,212,1.0,0.10100968215921416,0.10100968215921416
BRCA,0,Mismatch repair,3,1.0,0.0,0.07864937016790048
BRCA,0,Mitophagy,34,1.0,0.0,0.06810538325760876
BRCA,0,NF-kappa B signaling pathway,46,0.18811881188118812,0.23555409761897106,0.09400225247035135
BRCA,0,Natural killer cell mediated cytotoxicity,35,0.07920792079207921,0.23422230543917674,0.060276108956764336
BRCA,0,Necroptosis,122,0.43564356435643564,0.13551968896211544,0.11093587500443158
BRCA,0,Non-small cell lung cancer,5,1.0,0.0,0.07746200137871534
BRCA,0,Notch signaling pathway,43,1.0,0.0,0.061090603358510555
BRCA,0,Oxidative phosphorylation,105,0.39603960396039606,0.12664419191393197,0.08552999996899284
BRCA,0,PD-L1 expression and PD-1 checkpoint pathway in cancer,17,1.0,0.0,0.07788058391766679
BRCA,0,Proteoglycans in cancer,56,0.07920792079207921,0.3626153954108526,0.09272548387123355
BRCA,0,Rap1 signaling pathway,85,0.6435643564356436,0.055893494199592636,0.07184736739295683
BRCA,0,Ras signaling pathway,85,1.0,0.0,0.06999238001773112
BRCA,0,Regulation of actin cytoskeleton,63,1.0,0.0,0.05684645786792211
BRCA,0,Small cell lung cancer,23,1.0,0.0,0.07188237982248527
BRCA,0,T cell receptor signaling pathway,10,1.0,0.0,0.07163971221044742
BRCA,0,TGF-beta signaling pathway,41,0.26732673267326734,0.12407637794595985,0.07422752305702737
BRCA,0,TNF signaling pathway,22,0.09900990099009901,0.22265618729514008,0.07666235265854796
BRCA,0,Transcriptional misregulation in cancer,123,0.6534653465346535,0.07326476097886142,0.07326476097886142
BRCA,0,VEGF signaling pathway,5,1.0,0.0,0.07214809688290996
BRCA,0,Viral carcinogenesis,90,0.5742574257425742,0.0632489492112742,0.0632489492112742
BRCA,0,Wnt signaling pathway,66,0.13861386138613863,0.19472349130053582,0.08290599040920488
BRCA,0,mTOR signaling pathway,88,1.0,0.0,0.08282496293631675
BRCA,0,p53 signaling pathway,50,0.32673267326732675,0.12439489012983763,0.0950819902851498
BRCA,1,AMPK signaling pathway,74,0.32673267326732675,0.12196421550541514,0.08010852006132865
BRCA,1,Antigen processing and presentation,35,0.039603960396039604,0.26045190026465204,0.08682220842793642
BRCA,1,Apoptosis,97,1.0,0.0,0.07073942506742412
BRCA,1,Autophagy,90,0.0891089108910891,0.246557779419296,0.07538816720618519
BRCA,1,B cell receptor signaling pathway,23,1.0,0.0,0.07450533024573187
BRCA,1,Base excision repair,16,1.0,0.0,0.06777310222898389
BRCA,1,Breast cancer,4,1.0,0.0,0.08429392583666878
BRCA,1,Cell adhesion molecules,94,0.2871287128712871,0.17700990867426913,0.0982288773133664
BRCA,1,Cell cycle,124,1.0,0.0,0.012139084081010788
BRCA,1,Cellular senescence,111,0.39603960396039606,0.1301352603043601,0.10869134446631551
