dataset,sim,pathway,k,block_null_pct,real_abs_d,null_median_abs_d
KIRC,0,AMPK signaling pathway,74,0.6138613861386139,0.06277835005610084,0.06692741487116716
KIRC,0,Antigen processing and presentation,35,0.0891089108910891,0.4537216158540766,0.09197700406469358
KIRC,0,Apoptosis,96,1.0,0.0,0.07375749617661158
KIRC,0,Autophagy,89,0.09900990099009901,0.24554553828801093,0.098947980195058
KIRC,0,B cell receptor signaling pathway,23,1.0,0.0,0.07720711215137596
KIRC,0,Base excision repair,16,0.009900990099009901,0.5386701501585732,0.09469587221138737
KIRC,0,Breast cancer,4,1.0,0.0,0.08779768499946639
KIRC,0,Cell adhesion molecules,90,0.25742574257425743,0.1840916573572679,0.10568219719737879
KIRC,0,Cell cycle,124,0.8514851485148515,0.0691664491518075,0.0691664491518075
KIRC,0,Cellular senescence,110,1.0,0.0,0.051483861950929646
KIRC,0,Central carbon metabolism in cancer,18,1.0,0.0,0.07570710227504074
KIRC,0,Chemical carcinogenesis,114,0.49504950495049505,0.13224125594004532,0.12652007801422413
KIRC,0,Chemokine signaling pathway,16,0.06930693069306931,0.5252865179365694,0.07387492308258495
KIRC,0,Colorectal cancer,6,1.0,0.0,0.07228027254174996
KIRC,0,Cytokine-cytokine receptor interaction,112,0.40594059405940597,0.13177423683902728,0.11253270666956278
KIRC,0,DNA replication,29,0.039603960396039604,0.2524203979508969,0.07842136697462346
KIRC,0,ECM-receptor interaction,50,0.297029702970297,0.1236935630942756,0.0843107849773046
KIRC,0,ErbB signaling pathway,11,1.0,0.0,0.07457189762612984
KIRC,0,Ferroptosis,33,1.0,0.0,0.06506760252310004
KIRC,0,Focal adhesion,25,1.0,0.0,0.08158616789401264
KIRC,0,FoxO signaling pathway,28,1.0,0.0,0.07735125288450506
KIRC,0,Gastric cancer,7,1.0,0.0,0.0681094106566652
KIRC,0,Glycolysis / Gluconeogenesis,30,0.0594059405940594,0.2539727633077305,0.08383478353868093
KIRC,0,HIF-1 signaling pathway,33,1.0,0.0,0.062349246739284075
KIRC,0,Hedgehog signaling pathway,35,1.0,0.0,0.1037582599998852
KIRC,0,Hepatocellular carcinoma,25,1.0,0.0,0.06630754188274188
KIRC,0,Hippo signaling pathway,71,0.07920792079207921,0.2591664094790713,0.0772190681097487
KIRC,0,Homologous recombination,22,1.0,0.0,0.07184229526596461
KIRC,0,JAK-STAT signaling pathway,91,1.0,0.0,0.06067602603421401
KIRC,0,MAPK signaling pathway,210,1.0,0.26199919221619383,0.26199919221619383
KIRC,0,Mismatch repair,3,1.0,0.0,0.08855254201212877
KIRC,0,Mitophagy,33,1.0,0.0,0.07577107782363857
KIRC,0,NF-kappa B signaling pathway,46,0.12871287128712872,0.23641957117788995,0.07877472618918668
KIRC,0,Natural killer cell mediated cytotoxicity,35,0.0297029702970297,0.49324449479551863,0.08793374896467604
KIRC,0,Necroptosis,96,0.3564356435643564,0.12430052905994528,0.07640877503016583
KIRC,0,Non-small cell lung cancer,5,1.0,0.0,0.08334535969092047
KIRC,0,Notch signaling pathway,43,0.07920792079207921,0.24399085788295424,0.08475468357046237
KIRC,0,Oxidative phosphorylation,90,0.09900990099009901,0.3637922173299848,0.09599094583258261
KIRC,0,PD-L1 expression and PD-1 checkpoint pathway in cancer,17,1.0,0.0,0.07294441740990902
KIRC,0,Proteoglycans in cancer,54,1.0,0.0,0.07017491215884
KIRC,0,Rap1 signaling pathway,84,0.6138613861386139,0.06125330411263658,0.06742995560490442
KIRC,0,Ras signaling pathway,81,0.297029702970297,0.12286991519317285,0.07228226238775837
KIRC,0,Regulation of actin cytoskeleton,63,0.07920792079207921,0.2785027268634546,0.07477641981836652
KIRC,0,Small cell lung cancer,23,0.06930693069306931,0.2210984270312558,0.06952304397931196
KIRC,0,T cell receptor signaling pathway,9,1.0,0.0,0.06249525727339009
KIRC,0,TGF-beta signaling pathway,39,1.0,0.0,0.0761523984280564
KIRC,0,TNF signaling pathway,22,1.0,0.0,0.059951671274386026
KIRC,0,Transcriptional misregulation in cancer,105,0.1782178217821782,0.32688132047220353,0.11696323919543894
KIRC,0,VEGF signaling pathway,5,1.0,0.0,0.08143579237063914
KIRC,0,Viral carcinogenesis,53,0.39603960396039606,0.1244951316775521,0.10291386940213339
KIRC,0,Wnt signaling pathway,64,1.0,0.0,0.06736253074814177
KIRC,0,mTOR signaling pathway,86,0.7128712871287128,0.06454791743077964,0.08845104249278879
KIRC,0,p53 signaling pathway,49,1.0,0.0,0.06904409981510118
KIRC,1,AMPK signaling pathway,74,1.0,0.0,0.06643747412508655
KIRC,1,Antigen processing and presentation,35,0.18811881188118812,0.2255018246188841,0.10283017415901971
KIRC,1,Apoptosis,96,0.19801980198019803,0.18602209299607353,0.08746975390824645
KIRC,1,Autophagy,89,0.3564356435643564,0.12011598000614215,0.08255550469027145
KIRC,1,B cell receptor signaling pathway,23,1.0,0.0,0.06968648341440754
