dataset,sim,pathway,k,block_null_pct,real_abs_d,null_median_abs_d
LUAD,0,AMPK signaling pathway,74,0.19801980198019803,0.1743773888823595,0.07703491733575005
LUAD,0,Antigen processing and presentation,35,0.09900990099009901,0.2481143054478867,0.08505251306483194
LUAD,0,Apoptosis,97,0.594059405940594,0.05983425975365743,0.06462371978655104
LUAD,0,Autophagy,90,0.43564356435643564,0.12509514312213302,0.10427464487182261
LUAD,0,B cell receptor signaling pathway,23,0.039603960396039604,0.24620801963805478,0.08418814381391702
LUAD,0,Base excision repair,16,1.0,0.0,0.07300852664355623
LUAD,0,Breast cancer,4,1.0,0.0,0.0676016011770393
LUAD,0,Cell adhesion molecules,94,0.6138613861386139,0.05849469849571047,0.0587333073367967
LUAD,0,Cell cycle,124,0.7821782178217822,0.07065675771169992,0.07065675771169992
LUAD,0,Cellular senescence,111,0.38613861386138615,0.1253223944086544,0.09440264412812106
LUAD,0,Central carbon metabolism in cancer,19,1.0,0.0,0.0685029365952591
LUAD,0,Chemical carcinogenesis,120,0.43564356435643564,0.13064763694936274,0.10373518854892405
LUAD,0,Chemokine signaling pathway,16,0.06930693069306931,0.42757699410699185,0.06467638331793217
LUAD,0,Colorectal cancer,6,1.0,0.0,0.0794272369808447
LUAD,0,Cytokine-cytokine receptor interaction,112,1.0,0.0,0.05710771664345396
LUAD,0,DNA replication,29,1.0,0.0,0.06910363420314772
LUAD,0,ECM-receptor interaction,50,1.0,0.0,0.05206497141494271
LUAD,0,ErbB signaling pathway,11,1.0,0.0,0.07665031996853809
LUAD,0,Ferroptosis,33,1.0,0.0,0.07306277201972936
LUAD,0,Focal adhesion,25,0.1485148514851485,0.2281101134363171,0.08046381037204285
LUAD,0,FoxO signaling pathway,29,1.0,0.0,0.05872127653083174
LUAD,0,Gastric cancer,7,1.0,0.0,0.07246533125153876
LUAD,0,Glycolysis / Gluconeogenesis,30,0.06930693069306931,0.26045190026465204,0.08616710882730647
LUAD,0,HIF-1 signaling pathway,35,0.06930693069306931,0.507629729720208,0.10891015844703539
LUAD,0,Hedgehog signaling pathway,38,1.0,0.0,0.08032120530968358
LUAD,0,Hepatocellular carcinoma,25,0.039603960396039604,0.23676398766287404,0.07441700563146732
LUAD,0,Hippo signaling pathway,73,0.3465346534653465,0.12048183967890963,0.07827367140189014
LUAD,0,Homologous recombination,25,1.0,0.0,0.08688933620288206
LUAD,0,JAK-STAT signaling pathway,91,0.7029702970297029,0.06343914639311313,0.0846143490139064
LUAD,0,MAPK signaling pathway,212,1.0,0.09641980815305147,0.09641980815305147
LUAD,0,Mismatch repair,3,1.0,0.0,0.08368666319836957
LUAD,0,Mitophagy,34,1.0,0.0,0.09137082792253348
LUAD,0,NF-kappa B signaling pathway,46,0.0594059405940594,0.24577718727379752,0.07555927507935448
LUAD,0,Natural killer cell mediated cytotoxicity,35,0.0594059405940594,0.5070409034102151,0.08067865816555608
LUAD,0,Necroptosis,122,1.0,0.0,0.06508483238125694
LUAD,0,Non-small cell lung cancer,5,1.0,0.0,0.07756956201627013
LUAD,0,Notch signaling pathway,43,1.0,0.0,0.07911826895027606
LUAD,0,Oxidative phosphorylation,105,0.44554455445544555,0.06889106370946915,0.0627606743799969
LUAD,0,PD-L1 expression and PD-1 checkpoint pathway in cancer,17,1.0,0.0,0.07161729919680121
LUAD,0,Proteoglycans in cancer,56,0.039603960396039604,0.4141584779038659,0.06968727807633779
LUAD,0,Rap1 signaling pathway,85,0.16831683168316833,0.19478408418472676,0.07470043645241822
LUAD,0,Ras signaling pathway,85,0.0891089108910891,0.24753809458828074,0.09268222100283927
LUAD,0,Regulation of actin cytoskeleton,63,0.297029702970297,0.14238984278693578,0.09026406324296152
LUAD,0,Small cell lung cancer,23,0.1188118811881188,0.23804362029779322,0.07365822659688484
LUAD,0,T cell receptor signaling pathway,10,1.0,0.0,0.08165923116923426
LUAD,0,TGF-beta signaling pathway,41,0.32673267326732675,0.12365547619105485,0.07266262271320943
LUAD,0,TNF signaling pathway,22,1.0,0.0,0.07764851096313312
LUAD,0,Transcriptional misregulation in cancer,123,1.0,0.0,0.0529372329989355
LUAD,0,VEGF signaling pathway,5,1.0,0.0,0.06266601325012694
LUAD,0,Viral carcinogenesis,90,0.0891089108910891,0.313537415579089,0.09735094752839706
LUAD,0,Wnt signaling pathway,66,1.0,0.0,0.0709338800428454
LUAD,0,mTOR signaling pathway,88,0.6237623762376238,0.06237339980858474,0.07232959573610899
LUAD,0,p53 signaling pathway,50,1.0,0.0,0.05783194257794862
LUAD,1,AMPK signaling pathway,74,1.0,0.0,0.08222092636023665
LUAD,1,Antigen processing and presentation,35,0.039603960396039604,0.4931061284697422,0.07695091594764392
LUAD,1,Apoptosis,97,0.5544554455445545,0.06250327731312985,0.06250327731312985
LUAD,1,Autophagy,90,0.45544554455445546,0.0636038538614552,0.050519533789429805
LUAD,1,B cell receptor signaling pathway,23,0.13861386138613863,0.25361619464299434,0.0931397959859113
LUAD,1,Base excision repair,16,0.0297029702970297,0.873290304820752,0.09273484489456421
LUAD,1,Breast cancer,4,1.0,0.0,0.08418928281086943
LUAD,1,Cell adhesion molecules,94,1.0,0.0,0.052927747083019734
LUAD,1,Cell cycle,124,0.5643564356435643,0.13687718216583097,0.13687718216583097
LUAD,1,Cellular senescence,111,0.5544554455445545,0.06797699208510509,0.06797699208510509
LUAD,1,Central carbon metabolism in cancer,19,1.0,0.0,0.06684200437953726
LUAD,1,Chemical carcinogenesis,120,0.3465346534653465,0.14504146503210527,0.10176688043717408
LUAD,1,Chemokine signaling pathway,16,1.0,0.0,0.07244029504256343
LUAD,1,Colorectal cancer,6,1.0,0.0,0.06779448450745912
LUAD,1,Cytokine-cytokine receptor interaction,112,0.3465346534653465,0.1347865290038373,0.08174287268072294
LUAD,1,DNA replication,29,1.0,0.0,0.0785899092536416
LUAD,1,ECM-receptor interaction,50,1.0,0.0,0.06678896637392331
LUAD,1,ErbB signaling pathway,11,1.0,0.0,0.0583993187507316
LUAD,1,Ferroptosis,33,1.0,0.0,0.06063825323889039
LUAD,1,Focal adhesion,25,0.04950495049504951,0.24156010132751257,0.062245681023457136
LUAD,1,FoxO signaling pathway,29,1.0,0.0,0.07326114438644993
LUAD,1,Gastric cancer,7,1.0,0.0,0.09603728296105475
LUAD,1,Glycolysis / Gluconeogenesis,30,0.13861386138613863,0.23656382080646648,0.10930855321155213
LUAD,1,HIF-1 signaling pathway,35,1.0,0.0,0.07849238083035778
LUAD,1,Hedgehog signaling pathway,38,1.0,0.0,0.07590941991984158
LUAD,1,Hepatocellular carcinoma,25,1.0,0.0,0.0828787870055907
LUAD,1,Hippo signaling pathway,73,0.06930693069306931,0.28101396238413673,0.08110206035992583
LUAD,1,Homologous recombination,25,1.0,0.0,0.06225636758528008
LUAD,1,JAK-STAT signaling pathway,91,0.3465346534653465,0.12402913195423879,0.08512594473362825
LUAD,1,MAPK signaling pathway,212,1.0,0.061976885164479266,0.061976885164479266
LUAD,1,Mismatch repair,3,1.0,0.0,0.06376086792286831
LUAD,1,Mitophagy,34,1.0,0.0,0.09381035758560248
LUAD,1,NF-kappa B signaling pathway,46,1.0,0.0,0.05732322846925618
LUAD,1,Natural killer cell mediated cytotoxicity,35,0.0891089108910891,0.2529618408680766,0.0672853967194589
LUAD,1,Necroptosis,122,0.6336633663366337,0.07065083991160145,0.07065083991160145
LUAD,1,Non-small cell lung cancer,5,1.0,0.0,0.07468046595913538
LUAD,1,Notch signaling pathway,43,1.0,0.0,0.07218785613047235
LUAD,1,Oxidative phosphorylation,105,0.5841584158415841,0.06404751422934567,0.06404751422934567
LUAD,1,PD-L1 expression and PD-1 checkpoint pathway in cancer,17,1.0,0.0,0.05884297804554763
LUAD,1,Proteoglycans in cancer,56,0.0594059405940594,0.25770930354729915,0.06808034806670726
LUAD,1,Rap1 signaling pathway,85,0.36633663366336633,0.1183263605778212,0.08833110469765698
LUAD,1,Ras signaling pathway,85,1.0,0.0,0.07851780623016152
LUAD,1,Regulation of actin cytoskeleton,63,1.0,0.0,0.07255289834902268
LUAD,1,Small cell lung cancer,23,0.0891089108910891,0.22383224576330185,0.10615157644340154
LUAD,1,T cell receptor signaling pathway,10,1.0,0.0,0.07413382917696776
LUAD,1,TGF-beta signaling pathway,41,1.0,0.0,0.06800718238404013
LUAD,1,TNF signaling pathway,22,1.0,0.0,0.08103907843313055
LUAD,1,Transcriptional misregulation in cancer,123,1.0,0.0,0.026988443865838277
LUAD,1,VEGF signaling pathway,5,1.0,0.0,0.07016790050833235
LUAD,1,Viral carcinogenesis,90,1.0,0.0,0.0636038538614552
LUAD,1,Wnt signaling pathway,66,0.07920792079207921,0.2625691939039244,0.07200159793873052
LUAD,1,mTOR signaling pathway,88,0.18811881188118812,0.17480500515739053,0.08634255971078056
LUAD,1,p53 signaling pathway,50,1.0,0.0,0.05260436795011769
LUAD,2,AMPK signaling pathway,74,0.6039603960396039,0.06090690697838077,0.06269851547216247
LUAD,2,Antigen processing and presentation,35,1.0,0.0,0.06443584785219232
LUAD,2,Apoptosis,97,0.6039603960396039,0.060590565896853785,0.060590565896853785
LUAD,2,Autophagy,90,0.44554455445544555,0.11498362419899617,0.10201718909795306
LUAD,2,B cell receptor signaling pathway,23,0.0297029702970297,0.4759515065256586,0.09797491102257976
LUAD,2,Base excision repair,16,1.0,0.0,0.08616988821239446
LUAD,2,Breast cancer,4,1.0,0.0,0.07326088073153136
LUAD,2,Cell adhesion molecules,94,0.1485148514851485,0.2583325695400749,0.10036644534459964
LUAD,2,Cell cycle,124,1.0,0.0,0.0
LUAD,2,Cellular senescence,111,1.0,0.0,0.057045708283788917
LUAD,2,Central carbon metabolism in cancer,19,1.0,0.0,0.08563965087958487
LUAD,2,Chemical carcinogenesis,120,0.2376237623762376,0.20124189734186346,0.0982552043619226
LUAD,2,Chemokine signaling pathway,16,0.039603960396039604,0.42331339135451423,0.08889135357908676
LUAD,2,Colorectal cancer,6,1.0,0.0,0.0676962514218218
LUAD,2,Cytokine-cytokine receptor interaction,112,0.12871287128712872,0.2705313374064851,0.09557244463439853
LUAD,2,DNA replication,29,1.0,0.0,0.07846338935109035
LUAD,2,ECM-receptor interaction,50,0.07920792079207921,0.37669251932250924,0.08442599106310056
LUAD,2,ErbB signaling pathway,11,1.0,0.0,0.07721137053315244
LUAD,2,Ferroptosis,33,0.06930693069306931,0.2583940596408776,0.08188897421261426
