pathway,reject_p005,null_mean_sig_q,null_p95_sig_q
AMPK signaling pathway,0.065,,
Antigen processing and presentation,0.06,,
Apoptosis,0.08,,
Autophagy,0.035,,
B cell receptor signaling pathway,0.065,,
Base excision repair,0.065,,
Breast cancer,0.045,,
Cell adhesion molecules,0.05,,
Cell cycle,0.045,,
Cellular senescence,0.055,,
Central carbon metabolism in cancer,0.045,,
Chemical carcinogenesis,0.055,,
Chemokine signaling pathway,0.07,,
Colorectal cancer,0.03,,
Cytokine-cytokine receptor interaction,0.035,,
DNA replication,0.055,,
ECM-receptor interaction,0.06,,
ErbB signaling pathway,0.035,,
Ferroptosis,0.085,,
Focal adhesion,0.02,,
FoxO signaling pathway,0.025,,
Gastric cancer,0.055,,
Glycolysis / Gluconeogenesis,0.07,,
HIF-1 signaling pathway,0.055,,
Hedgehog signaling pathway,0.03,,
Hepatocellular carcinoma,0.04,,
Hippo signaling pathway,0.02,,
Homologous recombination,0.05,,
JAK-STAT signaling pathway,0.055,,
MAPK signaling pathway,0.065,,
Mismatch repair,0.075,,
Mitophagy,0.04,,
NF-kappa B signaling pathway,0.035,,
Natural killer cell mediated cytotoxicity,0.05,,
Necroptosis,0.045,,
Non-small cell lung cancer,0.06,,
Notch signaling pathway,0.04,,
Oxidative phosphorylation,0.065,,
PD-L1 expression and PD-1 checkpoint pathway in cancer,0.055,,
Pancreatic cancer,0.05,,
Proteoglycans in cancer,0.06,,
Rap1 signaling pathway,0.06,,
Ras signaling pathway,0.02,,
Regulation of actin cytoskeleton,0.06,,
Small cell lung cancer,0.07,,
T cell receptor signaling pathway,0.035,,
TGF-beta signaling pathway,0.05,,
TNF signaling pathway,0.055,,
Transcriptional misregulation in cancer,0.05,,
VEGF signaling pathway,0.08,,
Viral carcinogenesis,0.08,,
Wnt signaling pathway,0.035,,
mTOR signaling pathway,0.05,,
p53 signaling pathway,0.05,,
ALL,0.07,0.075,1.0
