dataset,model,c_index,se,split
BLCA,cox_nnet,0.6067507530514048,0.021721880205306496,internal
BLCA,deepsurv,0.6093109683364492,0.03312465360431319,internal
BLCA,elastic_net,0.6081072323191268,0.0776119069664333,internal
BLCA,lasso_cox,0.6099022719565644,0.07930405299083614,internal
BLCA,path_agnn_cox,0.5610086661986271,0.050590400402956565,internal
BLCA,path_agnn_cox_noreg,0.5519454713605914,0.04859919056925099,internal
BLCA,path_agnn_cox_static,0.5284760683736207,0.04352877116545251,internal
BLCA,plain_gnn,0.5672424158051197,0.03466962401533428,internal
BLCA,ridge_cox,0.6342999617403928,0.07433978931848748,internal
BLCA,rsf,0.6113171803814447,0.06529494463151982,internal
BRCA,cox_nnet,0.7034065467564458,0.035548250218204236,internal
BRCA,deepsurv,0.6731397573263959,0.054111040436631425,internal
BRCA,elastic_net,0.628844916640352,0.04574337711880293,internal
BRCA,lasso_cox,0.6184700889012306,0.05048114796214698,internal
BRCA,path_agnn_cox,0.5785725162006818,0.04641086159016915,internal
BRCA,path_agnn_cox_noreg,0.5757165061543146,0.07313788123809552,internal
BRCA,path_agnn_cox_static,0.5600737311823942,0.07255185362466172,internal
BRCA,plain_gnn,0.6056942089864997,0.03510795743978602,internal
BRCA,ridge_cox,0.6925378440153063,0.06560905891519295,internal
BRCA,rsf,0.5946107282542851,0.09747526249953681,internal
COAD,cox_nnet,0.5606850197143123,0.09507661249729714,internal
COAD,deepsurv,0.5889733061635173,0.09002295198385984,internal
COAD,elastic_net,0.5387080855386825,0.05371406783458922,internal
COAD,lasso_cox,0.5277907516895297,0.03826627690431264,internal
COAD,path_agnn_cox,0.5992702684431215,0.11201054836844239,internal
COAD,path_agnn_cox_noreg,0.5879498441349378,0.05056657252986244,internal
COAD,path_agnn_cox_static,0.5874159551725946,0.09280908183682378,internal
COAD,plain_gnn,0.6070211468913869,0.05727057646631619,internal
COAD,ridge_cox,0.5857199581442247,0.07804627242560817,internal
COAD,rsf,0.5497816517187021,0.07854947950430709,internal
GBM,cox_nnet,0.5755819817463493,0.04450113755610278,internal
GBM,deepsurv,0.5647850717431436,0.0493945471743136,internal
GBM,elastic_net,0.5024110806066151,0.04196748004137004,internal
GBM,lasso_cox,0.5007172233218938,0.03862658447251045,internal
GBM,path_agnn_cox,0.5797382070925883,0.09257390152320435,internal
GBM,path_agnn_cox_noreg,0.5790312791535592,0.06603903906141653,internal
GBM,path_agnn_cox_static,0.5543917510756244,0.08403970114976814,internal
GBM,plain_gnn,0.5450724260630703,0.06554056564418524,internal
GBM,ridge_cox,0.5981359936993238,0.07309322623628674,internal
GBM,rsf,0.5318153564176429,0.058073635290826965,internal
HNSC,cox_nnet,0.6113835443483697,0.05940053417597849,internal
HNSC,deepsurv,0.6041592371269813,0.05712127939600169,internal
HNSC,elastic_net,0.6089250411635343,0.03298873907961573,internal
HNSC,lasso_cox,0.6013398868675017,0.034636477625997746,internal
HNSC,path_agnn_cox,0.5406025976864585,0.062035845397998154,internal
HNSC,path_agnn_cox_noreg,0.5197408215742156,0.0452534346370837,internal
HNSC,path_agnn_cox_static,0.5257682547147677,0.03921493184766623,internal
HNSC,plain_gnn,0.5242759100336583,0.05104450856700995,internal
HNSC,ridge_cox,0.6281919199142185,0.04246399628512351,internal
HNSC,rsf,0.5987530641387451,0.02697870913893191,internal
KIRC,cox_nnet,0.6945659500413539,0.0535224449045244,internal
KIRC,deepsurv,0.7208503100991346,0.059722341219465715,internal
KIRC,elastic_net,0.7108624738394415,0.035704131592748274,internal
KIRC,lasso_cox,0.7055853483374979,0.03358469839326979,internal
KIRC,path_agnn_cox,0.628519467664508,0.07222889968844629,internal
KIRC,path_agnn_cox_noreg,0.6331819725311945,0.07446861285710996,internal
KIRC,path_agnn_cox_static,0.623390396941535,0.07963528678386549,internal
KIRC,plain_gnn,0.6281755232102832,0.08656490651593889,internal
KIRC,ridge_cox,0.7084348625701691,0.04027247483708556,internal
KIRC,rsf,0.6901052155476297,0.044981354173915876,internal
LIHC,cox_nnet,0.6683805060413034,0.07896085033269079,internal
LIHC,deepsurv,0.6728575814279398,0.05221952575121575,internal
LIHC,elastic_net,0.6516715349136771,0.07068681435320948,internal
LIHC,lasso_cox,0.6437479467167159,0.06455792700319057,internal
LIHC,path_agnn_cox,0.6137862351028026,0.017614855458608608,internal
LIHC,path_agnn_cox_noreg,0.6221722844813657,0.02389450126773479,internal
LIHC,path_agnn_cox_static,0.6214088333769856,0.024550614796896835,internal
LIHC,plain_gnn,0.6269402485149609,0.02234162397121146,internal
LIHC,ridge_cox,0.6787445697366252,0.07068280913994483,internal
LIHC,rsf,0.6311494036829753,0.05500976007771602,internal
LUAD,cox_nnet,0.6371703934398343,0.0426482579638388,internal
LUAD,deepsurv,0.6220749829927793,0.06129281278640617,internal
LUAD,elastic_net,0.65172154942482,0.03449953741264502,internal
LUAD,lasso_cox,0.6509121706886012,0.033241459626686,internal
LUAD,path_agnn_cox,0.4898153313222703,0.01969540981904355,internal
LUAD,path_agnn_cox_noreg,0.5337694648319972,0.060692349817332035,internal
LUAD,path_agnn_cox_static,0.5314553290813675,0.053243712731185604,internal
LUAD,plain_gnn,0.5017507145980904,0.023786541573586093,internal
LUAD,ridge_cox,0.6297748832174699,0.06195406383866065,internal
LUAD,rsf,0.5952632498664688,0.04782200534577052,internal
LUSC,cox_nnet,0.5083629629094578,0.036919792350780155,internal
LUSC,deepsurv,0.49731957882389477,0.030133608165732684,internal
LUSC,elastic_net,0.5261314472667792,0.05216362960337879,internal
LUSC,lasso_cox,0.5273472791056919,0.052227838335525446,internal
LUSC,path_agnn_cox,0.5198022140658504,0.03976660248939075,internal
LUSC,path_agnn_cox_noreg,0.5263093973959541,0.04318450967318839,internal
LUSC,path_agnn_cox_static,0.49984967036910677,0.03824898300236146,internal
LUSC,plain_gnn,0.49862161071255384,0.0379499016625003,internal
LUSC,ridge_cox,0.5066400803010119,0.04644961957518715,internal
LUSC,rsf,0.525788950749999,0.06175876431223761,internal
OV,cox_nnet,0.5957358078972911,0.02804787963404684,internal
OV,deepsurv,0.5969388940433016,0.031662014322253344,internal
OV,elastic_net,0.5224616269965052,0.032531608645791764,internal
OV,lasso_cox,0.521622958410593,0.0331703232620463,internal
OV,path_agnn_cox,0.5378908629805569,0.04695775426005731,internal
OV,path_agnn_cox_noreg,0.5213969238222809,0.042280385007861715,internal
OV,path_agnn_cox_static,0.5550212156125143,0.03208314799591958,internal
OV,plain_gnn,0.5248727932562163,0.049350555598307234,internal
OV,ridge_cox,0.578385299300336,0.03225845982696335,internal
OV,rsf,0.5608783944561498,0.023515240797748378,internal
STAD,cox_nnet,0.5352955707347129,0.049847341014121554,internal
STAD,deepsurv,0.5403642294692176,0.048481313362062926,internal
STAD,elastic_net,0.5804859290492596,0.03679155281514214,internal
STAD,lasso_cox,0.5290407128795731,0.05193814848980387,internal
STAD,path_agnn_cox,0.5294538404747033,0.03901681171559198,internal
